,precision,recall,f1-score,support
thin_cloud,1.0,1.0,1.0,6563.0
cloud_affected,1.0,1.0,1.0,6340.0
water,1.0,1.0,1.0,9170.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,22073.0
weighted avg,1.0,1.0,1.0,22073.0
