run_index,run_name,held_out_site,model,train_accuracy,train_balanced_accuracy,train_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro,leave_out_site_accuracy,leave_out_site_balanced_accuracy,leave_out_site_f1_macro,cv_selection_score_mean,cv_selection_score_std,selection_scoring,n_trials,searches,final_n_estimators,selected_parameters,train_csv,test_csv,leave_out_site_csv,scene_manifest_path,model_path,metrics_path,metadata_path
5,held_out_mendota,mendota,decision_tree,0.9410592126126942,0.9405562055446263,0.9389436697572023,0.5110461931714442,0.49360272518037496,0.49069978628799443,0.4872,0.48527777777777775,0.4825467883593942,0.7699871729655512,0.005711624596863914,balanced_accuracy,200,1,,"{""ccp_alpha"": 6.1289304257004e-05, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 19, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/DT_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/model_metadata.json
5,held_out_mendota,mendota,random_forest,1.0,1.0,1.0,0.5720284827460288,0.5581941425537743,0.5508906834176922,0.5464,0.5442592592592592,0.5154882412066122,0.8743013367938042,0.0020401968286680107,balanced_accuracy,200,1,,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": 0.5, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1000, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/RF_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/model_metadata.json
5,held_out_mendota,mendota,xgboost,1.0,1.0,1.0,0.5720284827460288,0.5588893736157524,0.5538781416362656,0.5592,0.5575925925925925,0.5214741446265712,0.8922859989876194,0.0025210990091919525,balanced_accuracy,200,1,555.0,"{""colsample_bytree"": 0.9700130415733964, ""gamma"": 0.0027907160882013346, ""learning_rate"": 0.07453475387909783, ""max_depth"": 9, ""min_child_weight"": 0.736600964214173, ""n_estimators"": 555, ""reg_alpha"": 0.18658243622797352, ""reg_lambda"": 0.14061078870389593, ""subsample"": 0.999662015886639}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_mendota/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/XGB_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_mendota/model_metadata.json
