number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
19,0.6947267384275637,2026-08-26 23:52:40.434762,2026-08-26 23:52:41.337706,0 days 00:00:00.902944,1.6799088957042346e-06,balanced,entropy,27,0.8,35,26,best,0.6947267384275637,0.0026853243560712326,"[0.6922875073590927, 0.6915442008680882, 0.6990364566786873, 0.6948621719026568, 0.6959033553292938]",COMPLETE
20,0.6963543186708534,2026-08-26 23:52:41.338043,2026-08-26 23:52:42.257026,0 days 00:00:00.918983,5.724815041812275e-05,balanced,entropy,27,0.8,32,15,best,0.6963543186708534,0.005095358868590145,"[0.7012305841062606, 0.6963132093240693, 0.6975795406732144, 0.6998879888242531, 0.6867602704264696]",COMPLETE
21,0.6965016138420471,2026-08-26 23:52:42.257369,2026-08-26 23:52:43.168364,0 days 00:00:00.910995,8.018294994700074e-05,balanced,entropy,27,0.8,34,19,best,0.6965016138420471,0.0023941128912474013,"[0.6960440212914983, 0.6969667853792032, 0.6959404066484822, 0.7005043440455613, 0.6930525118454901]",COMPLETE
22,0.7333490150843249,2026-08-26 23:52:43.168676,2026-08-26 23:52:44.163653,0 days 00:00:00.994977,5.1904830858415424e-05,balanced,entropy,28,0.8,15,16,best,0.7333490150843249,0.006076544285361621,"[0.7286152053405353, 0.7441572677346159, 0.7271072078717206, 0.7316409788538009, 0.7352244156209524]",COMPLETE
23,0.7311894465736517,2026-08-26 23:52:44.164026,2026-08-26 23:52:45.218821,0 days 00:00:01.054795,0.0008343607151346607,balanced,entropy,20,0.8,11,13,best,0.7311894465736517,0.009396623796849324,"[0.7267831921660267, 0.7412621748510103, 0.7423379409757352, 0.7280234915380607, 0.7175404333374251]",COMPLETE
24,0.726803637840609,2026-08-26 23:52:45.219138,2026-08-26 23:52:46.242868,0 days 00:00:01.023730,0.000779453998595457,balanced,entropy,20,0.8,13,12,best,0.726803637840609,0.008605948537304944,"[0.7341119963767117, 0.739253976937047, 0.7248150755090174, 0.7177677912599969, 0.7180693491202721]",COMPLETE
25,0.7213568624434852,2026-08-26 23:52:46.243198,2026-08-26 23:52:47.264813,0 days 00:00:01.021615,0.0008133987650164101,balanced,log_loss,19,0.8,14,9,best,0.7213568624434852,0.010998848369558292,"[0.7169526427320534, 0.7376659514493257, 0.7289869763783311, 0.7056537424597075, 0.7175249991980085]",COMPLETE
26,0.6839930982263104,2026-08-26 23:52:47.265146,2026-08-26 23:52:47.377546,0 days 00:00:00.112400,0.00046559637553929853,balanced,entropy,20,0.6,3,9,random,0.6839930982263104,0.006580297374326128,"[0.6895009036889412, 0.6926028175701835, 0.674686878018207, 0.6842197755937134, 0.6789551162605066]",COMPLETE
27,0.6567885306200326,2026-08-26 23:52:47.377907,2026-08-26 23:52:47.843871,0 days 00:00:00.465964,0.001562541631075915,balanced,entropy,14,0.4,11,34,best,0.6567885306200326,0.007140734773490981,"[0.6576514071511957, 0.6515188399055796, 0.656606555226432, 0.648693636225422, 0.6694722145915338]",COMPLETE
28,0.6934275803701685,2026-08-26 23:52:47.844193,2026-08-26 23:52:48.105466,0 days 00:00:00.261273,0.0003227113474925329,balanced,entropy,20,log2,17,2,best,0.6934275803701685,0.010088071788566421,"[0.6804177578217705, 0.7039608007472884, 0.7011529049464764, 0.6996119240824163, 0.6819945142528908]",COMPLETE
