model,dataset,n_sites,overall_binary_accuracy_mean,overall_binary_accuracy_std,overall_binary_accuracy_min,overall_binary_accuracy_max,balanced_binary_accuracy_mean,balanced_binary_accuracy_std,balanced_binary_accuracy_min,balanced_binary_accuracy_max,total_cloud_accuracy_mean,total_cloud_accuracy_std,total_cloud_accuracy_min,total_cloud_accuracy_max,water_accuracy_mean,water_accuracy_std,water_accuracy_min,water_accuracy_max,total_cloud_user_accuracy_mean,total_cloud_user_accuracy_std,total_cloud_user_accuracy_min,total_cloud_user_accuracy_max,water_user_accuracy_mean,water_user_accuracy_std,water_user_accuracy_min,water_user_accuracy_max,total_cloud_f1_mean,total_cloud_f1_std,total_cloud_f1_min,total_cloud_f1_max,water_f1_mean,water_f1_std,water_f1_min,water_f1_max
decision_tree,loso,6,0.6020706058959755,0.10820242667563058,0.3890746934225195,0.7016,0.5913371837444922,0.12292098618960859,0.3459949937421777,0.6755755395683454,0.6485662613418075,0.18643804401977057,0.2978723404255319,0.8111510791366906,0.5341081061471767,0.07995046040811651,0.3941176470588235,0.6306666666666667,0.5687452882582941,0.2838709058927002,0.026465028355387523,0.7520661157024794,0.6494982309748114,0.18049524067264144,0.5054768901950307,0.9103260869565217,0.5816620547894514,0.2665061380892621,0.04861111111111111,0.7735276259866424,0.5672733328594627,0.04653126448686294,0.5274298056155508,0.6585365853658537
decision_tree,test,6,0.6964728029304034,0.02398771874314211,0.6675854465270121,0.725764192139738,0.6834438033633764,0.023271751655192404,0.6490746410832142,0.709009062253743,0.7589549676667126,0.02861859331252133,0.7305204804434863,0.8025925925925926,0.6079326390600402,0.031040263516931076,0.563849765258216,0.6412556053811659,0.7338157610351025,0.030215960063760247,0.6768211920529801,0.7582384661473937,0.638994198905192,0.03981223366379549,0.577126381547333,0.6846153846153846,0.7458217894053112,0.023828950874383786,0.7114514444831187,0.7753130590339893,0.6224816018695906,0.028295139013257586,0.5704108287817621,0.6481792717086835
decision_tree,train,6,0.9901164827705942,0.013350425718373499,0.9644814932270195,1.0,0.9891708888944807,0.014433701999170932,0.9615426944998801,1.0,0.9946750429848296,0.00802949615935992,0.9789196310935442,1.0,0.9836667348041314,0.020909847686697,0.9441657579062159,1.0,0.9886049972427996,0.014616144847702805,0.9610439016967207,1.0,0.9923169199066452,0.011590323117770045,0.9695408734602463,1.0,0.9916206904499658,0.011321018022161155,0.969899408738386,1.0,0.987952387942176,0.016265845166012205,0.9566850828729282,1.0
random_forest,loso,6,0.6298359924999767,0.14591799972564717,0.34894091415830547,0.7428393524283935,0.6789911921403666,0.06312856214248308,0.6127748404407425,0.788102089756766,0.7714857750501359,0.14439498406498805,0.6093794681155276,0.9361702127659575,0.5864966092305973,0.13592883306454873,0.3164705882352941,0.685,0.6137834514437295,0.2771151808087909,0.0704,0.7821901323706378,0.698656238623435,0.21429427525959577,0.5145700071073206,0.9889705882352942,0.6216545465949389,0.2448206211442906,0.13095238095238096,0.7970570202329859,0.6056061678245045,0.093381638379883,0.47950089126559714,0.7652075042637863
random_forest,test,6,0.7349771942247093,0.024917882859743487,0.7056229327453142,0.7635371179039301,0.7240343524888345,0.026370465200434377,0.6883670987276316,0.7592198581560283,0.7868504531014399,0.01879291013128233,0.7678140096618358,0.8228826151560178,0.6612182518762293,0.044209540939363946,0.6089201877934273,0.7351063829787234,0.7681354394583231,0.03422030056196467,0.7117177097203728,0.8094144661308841,0.6845889100245972,0.031339953469376854,0.627783155856728,0.7105390966488586,0.7770961766193106,0.022854528512367356,0.7462478184991274,0.8083491461100569,0.6722390086341377,0.03310952529139684,0.6182078169685414,0.7184819339745256
random_forest,train,6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
xgboost,loso,6,0.6338741092336658,0.15724639028534781,0.3355629877369008,0.7571606475716065,0.6719168111162536,0.08933827168765662,0.5489111389236546,0.8062470023980814,0.7577374931137818,0.13657110880864787,0.580783528738919,0.9658273381294964,0.5860961291187253,0.13734368070485944,0.31058823529411766,0.6691666666666667,0.6145923633859937,0.28182591087782266,0.0593900481540931,0.788056206088993,0.7060374014791115,0.21122591811372013,0.5027137042062415,0.9727793696275072,0.6245211344532836,0.25817589527886653,0.11044776119402985,0.8137847642079806,0.609490725763353,0.10082864081537168,0.4697508896797153,0.7768878718535469
xgboost,test,6,0.7323774772036881,0.02677145545475346,0.6959808993235177,0.7617903930131005,0.7198163527656928,0.02798950140809597,0.6854532387562087,0.754022852639874,0.7921297940554974,0.018495283171314162,0.773117569352708,0.8264487369985141,0.647502911475888,0.05014647908378759,0.5849765258215962,0.7106382978723405,0.7622423071778351,0.03768191993889496,0.6941023979261179,0.7982944011865035,0.6854630399826753,0.027557224694409726,0.6373401534526855,0.7103174603174603,0.7765456993421901,0.024728650392092287,0.7370956641431521,0.8067885117493473,0.6653356623238958,0.03525756152504896,0.6100367197062424,0.7100717512622907
xgboost,train,6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
