scene_id,sensor,time_utc,nirmap_mean0,nirmap_median0,nirmap_std0,swirmap1_mean0,swirmap1_median0,swirmap1_std0,swirmap2_mean0,swirmap2_median0,swirmap2_std0,hotmap_mean0,hotmap_median0,hotmap_std0,whitenessmap_mean0,whitenessmap_median0,whitenessmap_std0,ndsimap1_mean0,ndsimap1_median0,ndsimap1_std0,ndsimap2_mean0,ndsimap2_median0,ndsimap2_std0,ndvimap_mean0,ndvimap_median0,ndvimap_std0,ndwimap_mean0,ndwimap_median0,ndwimap_std0,mndwimap1_mean0,mndwimap1_median0,mndwimap1_std0,mndwimap2_mean0,mndwimap2_median0,mndwimap2_std0,waterratiomap1_mean0,waterratiomap1_median0,waterratiomap1_std0,waterratiomap2_mean0,waterratiomap2_median0,waterratiomap2_std0,brtestmap1_mean0,brtestmap1_median0,brtestmap1_std0,brtestmap2_mean0,brtestmap2_median0,brtestmap2_std0,btmap1_mean0,btmap1_median0,btmap1_std0,btmap2_mean0,btmap2_median0,btmap2_std0,raamap_mean0,raamap_median0,raamap_std0,vzamap_mean0,vzamap_median0,vzamap_std0,szamap_mean0,szamap_median0,szamap_std0,nirmap_mean1,nirmap_median1,nirmap_std1,swirmap1_mean1,swirmap1_median1,swirmap1_std1,swirmap2_mean1,swirmap2_median1,swirmap2_std1,hotmap_mean1,hotmap_median1,hotmap_std1,whitenessmap_mean1,whitenessmap_median1,whitenessmap_std1,ndsimap1_mean1,ndsimap1_median1,ndsimap1_std1,ndsimap2_mean1,ndsimap2_median1,ndsimap2_std1,ndvimap_mean1,ndvimap_median1,ndvimap_std1,ndwimap_mean1,ndwimap_median1,ndwimap_std1,mndwimap1_mean1,mndwimap1_median1,mndwimap1_std1,mndwimap2_mean1,mndwimap2_median1,mndwimap2_std1,waterratiomap1_mean1,waterratiomap1_median1,waterratiomap1_std1,waterratiomap2_mean1,waterratiomap2_median1,waterratiomap2_std1,brtestmap1_mean1,brtestmap1_median1,brtestmap1_std1,brtestmap2_mean1,brtestmap2_median1,brtestmap2_std1,btmap1_mean1,btmap1_median1,btmap1_std1,btmap2_mean1,btmap2_median1,btmap2_std1,raamap_mean1,raamap_median1,raamap_std1,vzamap_mean1,vzamap_median1,vzamap_std1,szamap_mean1,szamap_median1,szamap_std1
LC08_L1TP_196028_20160807_20200906_02_T1,LANDSAT_8,20160807,0.016434602439403534,0.016771970316767693,0.0012832984793931246,0.007155395578593016,0.007564299274235964,0.0012428556801751256,0.005188191309571266,0.005510095506906509,0.0008847864810377359,0.08465064316987991,0.0847540870308876,0.0006525021162815392,1.0222736597061157,1.0163936614990234,0.015612546354532242,0.8275434374809265,0.8172798156738281,0.024969903752207756,0.8718414902687073,0.8658429384231567,0.018465852364897728,-0.356121301651001,-0.3514021635055542,0.021077586337924004,0.6427497267723083,0.6375033855438232,0.017673175781965256,0.8275434374809265,0.8172798156738281,0.024969903752207756,0.8718414902687073,0.8658429384231567,0.018465852364897728,4.706431865692139,4.540919780731201,0.42233002185821533,5.127057075500488,4.929579257965088,0.4147294759750366,0.4322010278701782,0.45280203223228455,0.046592921018600464,0.31349432468414307,0.3244003355503082,0.032521918416023254,19.310659408569336,19.311065673828125,0.03269275650382042,18.37246322631836,18.379974365234375,0.03658794239163399,142.33518981933594,142.33999633789062,0.005000877659767866,3.916800022125244,3.9200000762939453,0.004664757288992405,34.150001525878906,34.150001525878906,0.0,0.024529658257961273,0.024595437571406364,0.0008724211947992444,0.014812400564551353,0.014728236943483353,0.0007279483252204955,0.011476900428533554,0.011463353410363197,0.000640078098513186,0.07488961517810822,0.07499554753303528,0.00034581442014314234,0.9021544456481934,0.9005775451660156,0.016685882583260536,0.6184555292129517,0.6181819438934326,0.011852403171360493,0.6911274790763855,0.6923575401306152,0.011686541140079498,-0.20027434825897217,-0.1996753215789795,0.007881004363298416,0.43833184242248535,0.4356271028518677,0.009965622797608376,0.6184555292129517,0.6181819438934326,0.011852403171360493,0.6911274790763855,0.6923575401306152,0.011686541140079498,2.533836841583252,2.526252269744873,0.0625191479921341,2.768763542175293,2.772024393081665,0.07111407071352005,0.6037183403968811,0.6040268540382385,0.01593613624572754,0.4676843583583832,0.46545079350471497,0.0146616967394948,19.79619789123535,19.79779052734375,0.0073860944248735905,18.78203010559082,18.769073486328125,0.02424951083958149,144.9788055419922,144.97999572753906,0.008631404489278793,2.299999952316284,2.299999952316284,0.004898975137621164,34.209999084472656,34.209999084472656,0.0
LC08_L1TP_195028_20160816_20200906_02_T1,LANDSAT_8,20160816,0.01866399496793747,0.018674025312066078,0.00019851115939673036,0.0039383345283567905,0.003935325890779495,0.0001524395920569077,0.0020694276317954063,0.0020804579835385084,0.00013657184899784625,0.08711621165275574,0.08709114789962769,0.0002356995828449726,1.0161888599395752,1.0160839557647705,0.0037914826534688473,0.8923544883728027,0.8924289345741272,0.003947100602090359,0.9419549703598022,0.9418565630912781,0.0037508560344576836,-0.2914094924926758,-0.2912484407424927,0.005265749525278807,0.5753074288368225,0.5751354694366455,0.0036298977211117744,0.8923544883728027,0.8924289345741272,0.003947100602090359,0.9419549703598022,0.9418565630912781,0.0037508560344576836,4.5683674812316895,4.567480087280273,0.052270643413066864,4.980362415313721,4.972325325012207,0.06535746902227402,0.21103841066360474,0.2105262279510498,0.008563491515815258,0.11087489873170853,0.11170908808708191,0.007184415590018034,20.677818298339844,20.673553466796875,0.020841281861066818,19.548885345458984,19.555389404296875,0.046344466507434845,34.93599319458008,34.93999481201172,0.005658062640577555,6.431199550628662,6.429999828338623,0.004308180883526802,37.06999969482422,37.06999969482422,0.0,0.01873798668384552,0.018738986924290657,0.00023451798188034445,0.003981593064963818,0.003988617565482855,0.00018644859665073454,0.002007851842790842,0.0020319323521107435,0.00014392781304195523,0.08744611591100693,0.08747372031211853,0.0002570990181993693,1.03743314743042,1.0375776290893555,0.004393045324832201,0.8891502618789673,0.8888890147209167,0.004971461836248636,0.9425222873687744,0.942205011844635,0.0040255356580019,-0.2899865210056305,-0.28943631052970886,0.007162139751017094,0.5671984553337097,0.567708432674408,0.004477581009268761,0.8891502618789673,0.8888890147209167,0.004971461836248636,0.9425222873687744,0.942205011844635,0.0040255356580019,4.4856672286987305,4.474149227142334,0.06428705900907516,4.912489891052246,4.917777061462402,0.07379104942083359,0.21251358091831207,0.21166880428791046,0.010082079097628593,0.10716349631547928,0.1070948988199234,0.007692932151257992,20.504894256591797,20.5128173828125,0.034055083990097046,19.08731460571289,19.087066650390625,0.015329713933169842,44.02360534667969,44.02000427246094,0.004797364119440317,8.005200386047363,8.010000228881836,0.004996112547814846,37.130001068115234,37.130001068115234,0.0
LC08_L1TP_196028_20160823_20200906_02_T1,LANDSAT_8,20160823,0.010717445984482765,0.010683710686862469,0.0001657549582887441,0.0020539239048957825,0.002019160892814398,0.00015092988905962557,0.001141976099461317,0.0011245955247431993,0.0001357703295070678,0.07460706681013107,0.0746198445558548,0.0001927965640788898,1.0979057550430298,1.0980274677276611,0.005058291833847761,0.9296358227729797,0.9308840036392212,0.0050067114643752575,0.9602549076080322,0.9609411954879761,0.004680439364165068,-0.4103027284145355,-0.41126763820648193,0.006599471904337406,0.6802455186843872,0.6809161305427551,0.004451830871403217,0.9296358227729797,0.9308840036392212,0.0050067114643752575,0.9602549076080322,0.9609411954879761,0.004680439364165068,6.417831897735596,6.404004096984863,0.09611959010362625,6.9124369621276855,6.9245758056640625,0.13245436549186707,0.19176866114139557,0.18536505103111267,0.015483674593269825,0.10655364394187927,0.10426492244005203,0.012490135617554188,19.481739044189453,19.4835205078125,0.01438674796372652,18.47743034362793,18.476593017578125,0.024133948609232903,137.88360595703125,137.8800048828125,0.004797364119440317,3.968400239944458,3.9700000286102295,0.0046303304843604565,38.5099983215332,38.5099983215332,0.0,0.015848301351070404,0.015881039202213287,0.0004425014485605061,0.007752807345241308,0.007825436070561409,0.0003692265891004354,0.005604646168649197,0.005600553937256336,0.00028345437021926045,0.07338779419660568,0.07340825349092484,0.00026799592887982726,1.0090237855911255,1.009211778640747,0.00793533492833376,0.7640649676322937,0.7630147933959961,0.009307348169386387,0.8236721754074097,0.8237426280975342,0.007606608793139458,-0.30616089701652527,-0.30478885769844055,0.009667376056313515,0.5705425143241882,0.570242166519165,0.008290803991258144,0.7640649676322937,0.7630147933959961,0.009307348169386387,0.8236721754074097,0.8237426280975342,0.007606608793139458,3.7222084999084473,3.7202200889587402,0.10000697523355484,4.094815254211426,4.0764665603637695,0.10808881372213364,0.48908504843711853,0.49114328622817993,0.01616690494120121,0.35354888439178467,0.3547855615615845,0.012478026561439037,19.283445358276367,19.2835693359375,0.03510322421789169,18.555870056152344,18.552734375,0.03726566955447197,140.41079711914062,140.41000366210938,0.007961324416100979,2.3523998260498047,2.3499999046325684,0.004270826932042837,38.54999923706055,38.54999923706055,0.0
LC08_L1TP_195028_20160901_20200906_02_T1,LANDSAT_8,20160901,0.019961677491664886,0.01998099312186241,0.0002927721361629665,0.005932606291025877,0.0059540607035160065,0.00028856252902187407,0.0038449277635663748,0.003808454377576709,0.0002495140943210572,0.09244789183139801,0.09235510230064392,0.00048408651491627097,1.0334223508834839,1.033756971359253,0.005103390663862228,0.8474587202072144,0.8472129106521606,0.006402948405593634,0.8984216451644897,0.8992551565170288,0.00591265456750989,-0.2911980152130127,-0.2895354628562927,0.005329541862010956,0.5650835633277893,0.5654191970825195,0.003823657752946019,0.8474587202072144,0.8472129106521606,0.006402948405593634,0.8984216451644897,0.8992551565170288,0.00591265456750989,4.179599285125732,4.171635150909424,0.06977936625480652,4.546209335327148,4.551299095153809,0.07807114720344543,0.2971142828464508,0.29648861289024353,0.01185352262109518,0.1925211399793625,0.19067203998565674,0.010599758476018906,20.298965454101562,20.30224609375,0.06327435374259949,19.218490600585938,19.232696533203125,0.055186234414577484,39.566795349121094,39.56999206542969,0.006142852362245321,6.348800182342529,6.349999904632568,0.004308074712753296,41.779998779296875,41.779998779296875,0.0,0.02513035386800766,0.02517298050224781,0.0007314005051739514,0.010448255576193333,0.010439534671604633,0.0007577135693281889,0.0073265512473881245,0.0072191148065030575,0.0006547578377649188,0.09424100816249847,0.09421083331108093,0.00037310158950276673,1.0063178539276123,1.0070738792419434,0.009041105397045612,0.7511684894561768,0.7512788772583008,0.014352625235915184,0.8188083171844482,0.8204872608184814,0.013675120659172535,-0.23559297621250153,-0.23670314252376556,0.007879636250436306,0.4903041422367096,0.49010032415390015,0.008563326671719551,0.7511684894561768,0.7512788772583008,0.014352625235915184,0.8188083171844482,0.8204872608184814,0.013675120659172535,3.2103159427642822,3.2139618396759033,0.10339350253343582,3.5193467140197754,3.5228986740112305,0.1172163113951683,0.4152912199497223,0.4142075777053833,0.019221840426325798,0.2910722494125366,0.2928958237171173,0.018316438421607018,20.509449005126953,20.522735595703125,0.03928517550230026,19.344890594482422,19.33746337890625,0.04569084569811821,48.808799743652344,48.80999755859375,0.003250310430303216,7.9232001304626465,7.920000076293945,0.004664645995944738,41.820796966552734,41.81999969482422,0.002713513094931841
LC08_L1TP_196028_20160908_20200906_02_T1,LANDSAT_8,20160908,0.014775000512599945,0.014770581386983395,0.0002547996991779655,0.0035482472740113735,0.003506278619170189,0.00014880424714647233,0.0020485506393015385,0.002043032320216298,0.00013637603842653334,0.0799340009689331,0.07991302758455276,0.0002689569955691695,1.0747336149215698,1.0752463340759277,0.007825416512787342,0.8891622424125671,0.890658974647522,0.004181292373687029,0.9344729781150818,0.9349164962768555,0.004217157140374184,-0.33586421608924866,-0.3370649516582489,0.007064542733132839,0.6072929501533508,0.607366681098938,0.005031909327954054,0.8891622424125671,0.890658974647522,0.004181292373687029,0.9344729781150818,0.9349164962768555,0.004217157140374184,4.923263072967529,4.950078964233398,0.078343965113163,5.361922740936279,5.372133731842041,0.07917225360870361,0.2401730865240097,0.23659875988960266,0.009733336977660656,0.1386994570493698,0.13878269493579865,0.009648727253079414,19.058025360107422,19.048095703125,0.04151080176234245,17.87701988220215,17.875030517578125,0.03769144415855408,133.2652130126953,133.27000427246094,0.004993257578462362,4.017600059509277,4.019999980926514,0.004270725417882204,43.58000183105469,43.58000183105469,0.0,0.013444367796182632,0.013564825057983398,0.00022401736350730062,0.0031715671066194773,0.0031494665890932083,0.00018090965750161558,0.001631088089197874,0.0016852366970852017,0.00012707865971606225,0.07866770029067993,0.07861244678497314,0.0002564108290243894,1.1141773462295532,1.1135835647583008,0.005590052343904972,0.8958561420440674,0.896504819393158,0.005618625786155462,0.9450480937957764,0.9432032108306885,0.004202916286885738,-0.3554859459400177,-0.35329338908195496,0.008206122554838657,0.6222056746482849,0.6208494305610657,0.005216800607740879,0.8958561420440674,0.896504819393158,0.005618625786155462,0.9450480937957764,0.9432032108306885,0.004202916286885738,5.177628993988037,5.158681869506836,0.10139808058738708,5.7064409255981445,5.675775527954102,0.10657207667827606,0.23591949045658112,0.23347114026546478,0.013170312158763409,0.12134531140327454,0.12298347800970078,0.009573448449373245,19.91718101501465,19.917266845703125,0.021379172801971436,18.8748722076416,18.894622802734375,0.058875441551208496,135.6763916015625,135.67999267578125,0.008427835069596767,2.4020001888275146,2.4000000953674316,0.004898975137621164,43.619998931884766,43.619998931884766,0.0
LC08_L1TP_196028_20160924_20200906_02_T1,LANDSAT_8,20160924,0.022161584347486496,0.02198059856891632,0.0011071264743804932,0.005376834888011217,0.005197080783545971,0.0007312207017093897,0.0025997585617005825,0.0025373948737978935,0.0004842580819968134,0.08667267858982086,0.08668429404497147,0.0002525883901398629,0.9522331953048706,0.955047070980072,0.012659774161875248,0.8585644364356995,0.8627926707267761,0.016496973112225533,0.9290401339530945,0.9300170540809631,0.011969313956797123,-0.27771979570388794,-0.27932417392730713,0.013444350101053715,0.5220662951469421,0.5246875286102295,0.01534780953079462,0.8585644364356995,0.8627926707267761,0.016496973112225533,0.9290401339530945,0.9300170540809631,0.011969313956797123,3.9948770999908447,4.024583339691162,0.17509496212005615,4.44223690032959,4.478752136230469,0.18910659849643707,0.24194540083408356,0.2372410148382187,0.02112152799963951,0.11674101650714874,0.11634314805269241,0.014906683005392551,16.798465728759766,16.806549072265625,0.030317002907395363,15.685318946838379,15.697540283203125,0.03987586870789528,129.10520935058594,129.11001586914062,0.005000877659767866,3.9832000732421875,3.9800000190734863,0.004664756823331118,49.13999938964844,49.13999938964844,0.0,0.02100224792957306,0.02094963937997818,0.0003261432866565883,0.005188167095184326,0.005229759030044079,0.0001753413089318201,0.0022998680360615253,0.0022631711326539516,0.00012565357610583305,0.08285050094127655,0.08288108557462692,0.00023614692327100784,1.0073838233947754,1.0077123641967773,0.004899145103991032,0.850085973739624,0.8490734696388245,0.004608969669789076,0.9306567907333374,0.9316397905349731,0.003523413557559252,-0.2716534733772278,-0.2705006003379822,0.006777339614927769,0.5059900879859924,0.5070270299911499,0.004975343123078346,0.850085973739624,0.8490734696388245,0.004608969669789076,0.9306567907333374,0.9316397905349731,0.003523413557559252,3.8452682495117188,3.8579843044281006,0.05424743518233299,4.322014331817627,4.328064918518066,0.06450556963682175,0.24704578518867493,0.24928730726242065,0.007918667048215866,0.1094927117228508,0.10714255273342133,0.005454725120216608,16.940448760986328,16.93951416015625,0.024607373401522636,15.91169548034668,15.91876220703125,0.07214660942554474,131.54360961914062,131.54000854492188,0.011958267539739609,2.3651998043060303,2.369999885559082,0.0049959938041865826,49.15999984741211,49.15999984741211,0.0
LC08_L1TP_195028_20161003_20200906_02_T1,LANDSAT_8,20161003,0.011506476439535618,0.011490629985928535,0.00029193199588917196,0.002086797496303916,0.0020141552668064833,0.00017793613369576633,0.0012309440644457936,0.0011886769207194448,0.0001894548477139324,0.08376670628786087,0.08375284075737,0.0002932440547738224,1.1368317604064941,1.135620355606079,0.00539024081081152,0.9335014224052429,0.9353815317153931,0.005467785522341728,0.9602407217025757,0.9615592956542969,0.005996229592710733,-0.43279898166656494,-0.43044185638427734,0.010599907487630844,0.681134819984436,0.6805874705314636,0.007044564001262188,0.9335014224052429,0.9353815317153931,0.005467785522341728,0.9602407217025757,0.9615592956542969,0.005996229592710733,6.605403900146484,6.567315578460693,0.18331964313983917,7.049538612365723,7.03627347946167,0.1997929811477661,0.18140242993831635,0.17647039890289307,0.01530764065682888,0.10702221840620041,0.10714202374219894,0.016541700810194016,16.549348831176758,16.535003662109375,0.0361064188182354,15.998786926269531,15.993438720703125,0.04315939173102379,48.021202087402344,48.019996643066406,0.005879908800125122,6.354799747467041,6.349999904632568,0.004996112547814846,52.720001220703125,52.720001220703125,0.0,0.011535541154444218,0.01133072841912508,0.0004768836370203644,0.002226499607786536,0.002213283209130168,0.00030705652898177505,0.0013160762609913945,0.00125529442448169,0.00039944739546626806,0.08142140507698059,0.08136327564716339,0.00028467492666095495,1.177629828453064,1.1787348985671997,0.00989624299108982,0.9244412183761597,0.9242512583732605,0.009778141044080257,0.9547326564788818,0.9565218687057495,0.013122928328812122,-0.4196082055568695,-0.422184020280838,0.011725755408406258,0.6617217063903809,0.6656951308250427,0.010294454172253609,0.9244412183761597,0.9242512583732605,0.009778141044080257,0.9547326564788818,0.9565218687057495,0.013122928328812122,6.180135726928711,6.304675579071045,0.27919188141822815,6.625296592712402,6.770671844482422,0.3612529933452606,0.19248619675636292,0.19354814291000366,0.020794188603758812,0.11313679069280624,0.10850436985492706,0.02998410351574421,16.610977172851562,16.640106201171875,0.056477516889572144,16.096174240112305,16.10980224609375,0.05231700465083122,57.30000305175781,57.30000305175781,0.0,7.928400039672852,7.929999828338623,0.00463026762008667,52.7400016784668,52.7400016784668,0.0
LC08_L1TP_195028_20161206_20200905_02_T1,LANDSAT_8,20161206,0.022611942142248154,0.022422870621085167,0.000453609274700284,0.005570556037127972,0.005575403571128845,0.00026660540606826544,0.0028919330798089504,0.002969507360830903,0.00033786578569561243,0.10441544651985168,0.10435725748538971,0.00031755759846419096,1.0929291248321533,1.0922961235046387,0.006204037927091122,0.859890341758728,0.8603948354721069,0.006405656225979328,0.9247829914093018,0.923137366771698,0.00821223296225071,-0.3376365303993225,-0.33928558230400085,0.009357285685837269,0.5316430926322937,0.534298300743103,0.006712642032653093,0.859890341758728,0.8603948354721069,0.006405656225979328,0.9247829914093018,0.923137366771698,0.00821223296225071,4.245236873626709,4.251618385314941,0.07864335924386978,4.692766189575195,4.710525989532471,0.1200486347079277,0.2464391589164734,0.24793313443660736,0.012574040330946445,0.1277736872434616,0.12793706357479095,0.013618494383990765,7.03327751159668,7.033050537109375,0.029236115515232086,6.433143138885498,6.4495849609375,0.05256228148937225,51.88279724121094,51.87999725341797,0.006646718829870224,6.187199592590332,6.190000057220459,0.004490091931074858,70.7300033569336,70.7300033569336,0.0,0.03631534427404404,0.036179594695568085,0.000677723262924701,0.015834175050258636,0.015817204490303993,0.00036943209124729037,0.011194455437362194,0.011211424134671688,0.00031677045626565814,0.10797886550426483,0.10799340903759003,0.0003905155463144183,0.972291886806488,0.9722223877906799,0.007012817542999983,0.6774328351020813,0.6771025061607361,0.005954273045063019,0.7606342434883118,0.7607720494270325,0.006090110633522272,-0.21642298996448517,-0.21836064755916595,0.00816089753061533,0.38789501786231995,0.3884894549846649,0.007716543506830931,0.6774328351020813,0.6771025061607361,0.005954273045063019,0.7606342434883118,0.7607720494270325,0.006090110633522272,2.660322666168213,2.662764310836792,0.03846425563097,2.919954776763916,2.9271113872528076,0.03792399540543556,0.4361230134963989,0.4365480840206146,0.011376157402992249,0.3084147274494171,0.30845725536346436,0.011874235235154629,5.799722671508789,5.79766845703125,0.03771158307790756,5.063892841339111,5.055419921875,0.05443020164966583,61.49000549316406,61.49000549316406,0.0,7.761199951171875,7.760000228881836,0.004308074712753296,70.7300033569336,70.7300033569336,0.0
LC08_L1TP_195028_20161222_20200905_02_T1,LANDSAT_8,20161222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195028_20170107_20200905_02_T1,LANDSAT_8,20170107,0.02642051875591278,0.02640053816139698,0.00026226407499052584,0.00549729447811842,0.005492310505360365,0.0003826740139629692,0.0025738878175616264,0.002558907028287649,0.0002672980190254748,0.1144997850060463,0.11452727019786835,0.00044338006409816444,1.0948859453201294,1.095172643661499,0.0066628046333789825,0.8720305562019348,0.8729243278503418,0.008376720361411572,0.9379773736000061,0.9381134510040283,0.0062317196279764175,-0.317815899848938,-0.31672048568725586,0.006113023962825537,0.5053101778030396,0.5055138468742371,0.004085249733179808,0.8720305562019348,0.8729243278503418,0.008376720361411572,0.9379773736000061,0.9381134510040283,0.0062317196279764175,4.119143486022949,4.117419719696045,0.073286272585392,4.533495903015137,4.528021335601807,0.04756312817335129,0.2080177515745163,0.20665015280246735,0.01354566216468811,0.09747613221406937,0.09761864691972733,0.010649546049535275,4.376640796661377,4.405426025390625,0.07300051301717758,3.2107043266296387,3.202880859375,0.058939024806022644,48.18959045410156,48.18999481201172,0.0072015393525362015,6.183999538421631,6.179999828338623,0.004899091552942991,71.30999755859375,71.30999755859375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
