rank,candidate_id,stability_score,mean_score,std_score,min_score,max_score,n_repeated_folds,final_n_estimators,parameters,source_trials,fold_scores
1,4,0.5556501188271311,0.5636621646825354,0.03204818342161727,0.5024614396328277,0.6204725706422658,15,,"{""ccp_alpha"": 0.0034550298745502123, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 55, ""min_samples_split"": 95, ""splitter"": ""random""}","[{""cv_seed"": 42, ""prescreen_score"": 0.5609560684746965, ""run"": 1, ""trial"": 83, ""tuning_values"": [0.5609560684746965]}]","[0.6204725706422658, 0.5494649967008137, 0.5024614396328277, 0.5799290312395188, 0.5524523041580562, 0.607519902164305, 0.5591131277858419, 0.520009059402441, 0.5404396788915472, 0.5886818125208712, 0.554125915246816, 0.5481402407604893, 0.5487998296172055, 0.5728757389463289, 0.610446822528703]"
2,15,0.5555143639783173,0.5630778664554433,0.03025400990850418,0.5199255510929895,0.6188047172870178,15,,"{""ccp_alpha"": 6.90077523194098e-06, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 32, ""min_samples_split"": 38, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5677578785936068, ""run"": 2, ""trial"": 131, ""tuning_values"": [0.5677578785936068]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6188047172870178, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.5559959533206282, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
3,9,0.5554275577061158,0.5630136554988189,0.03034439117081227,0.5199255510929895,0.6193307562138984,15,,"{""ccp_alpha"": 7.368599525184333e-06, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 30, ""min_samples_split"": 34, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5678630863789829, ""run"": 2, ""trial"": 125, ""tuning_values"": [0.5678630863789829]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6193307562138984, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.554506750044381, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
4,10,0.5554275577061158,0.5630136554988189,0.03034439117081227,0.5199255510929895,0.6193307562138984,15,,"{""ccp_alpha"": 2.236500826190687e-06, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 30, ""min_samples_split"": 34, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5678630863789829, ""run"": 2, ""trial"": 141, ""tuning_values"": [0.5678630863789829]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6193307562138984, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.554506750044381, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
5,11,0.5554275577061158,0.5630136554988189,0.03034439117081227,0.5199255510929895,0.6193307562138984,15,,"{""ccp_alpha"": 5.539016714954483e-05, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 30, ""min_samples_split"": 24, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5678630863789829, ""run"": 2, ""trial"": 143, ""tuning_values"": [0.5678630863789829]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6193307562138984, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.554506750044381, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
6,12,0.5554275577061158,0.5630136554988189,0.03034439117081227,0.5199255510929895,0.6193307562138984,15,,"{""ccp_alpha"": 3.973783928754923e-05, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 30, ""min_samples_split"": 20, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5678630863789829, ""run"": 2, ""trial"": 146, ""tuning_values"": [0.5678630863789829]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6193307562138984, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.554506750044381, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
7,14,0.5554087063866994,0.5629785862370268,0.03027951940130977,0.5199255510929895,0.6188047172870178,15,,"{""ccp_alpha"": 2.0079534883876095e-05, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 31, ""min_samples_split"": 33, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5677578785936068, ""run"": 2, ""trial"": 129, ""tuning_values"": [0.5677578785936068]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6188047172870178, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.554506750044381, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
8,16,0.5554087063866994,0.5629785862370268,0.03027951940130977,0.5199255510929895,0.6188047172870178,15,,"{""ccp_alpha"": 4.089072056886317e-06, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 31, ""min_samples_split"": 37, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5677578785936068, ""run"": 2, ""trial"": 133, ""tuning_values"": [0.5677578785936068]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6188047172870178, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.554506750044381, 0.5531297823115008, 0.5365363683889659, 0.5747305131248629, 0.6073722941496543]"
9,2,0.5547490686807243,0.562420334982258,0.030685065206134905,0.49836380913220424,0.6190312201974584,15,,"{""ccp_alpha"": 0.004050305810344386, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 39, ""min_samples_split"": 62, ""splitter"": ""random""}","[{""cv_seed"": 42, ""prescreen_score"": 0.5614727509708046, ""run"": 1, ""trial"": 84, ""tuning_values"": [0.5614727509708046]}]","[0.6190312201974584, 0.5537177710935857, 0.49836380913220424, 0.5837986502727188, 0.5524523041580562, 0.607519902164305, 0.5591131277858419, 0.5221446425981022, 0.543062149655135, 0.5921657028161018, 0.554125915246816, 0.5481402407604893, 0.5442058180232568, 0.5726315387021287, 0.5858322321276686]"
10,13,0.553421134653514,0.561472396084563,0.03220504572419606,0.5123595778436832,0.6188047172870178,15,,"{""ccp_alpha"": 1.1508839811231664e-05, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 33, ""min_samples_split"": 52, ""splitter"": ""random""}","[{""cv_seed"": 142, ""prescreen_score"": 0.5677578785936068, ""run"": 2, ""trial"": 113, ""tuning_values"": [0.5677578785936068]}]","[0.6108777183612517, 0.5430071310336704, 0.5199255510929895, 0.5526240175265361, 0.5531792745535542, 0.6188047172870178, 0.5658196161405279, 0.5213030174286614, 0.5425505354860598, 0.5903115066257669, 0.5560906883027078, 0.5531297823115008, 0.5123595778436832, 0.5747305131248629, 0.6073722941496543]"
