rank,candidate_id,stability_score,mean_score,std_score,min_score,max_score,n_repeated_folds,final_n_estimators,parameters,source_trials,fold_scores
1,1,0.5655547336532081,0.5730107889329521,0.029824221118975876,0.5319147418454476,0.6380734126846189,15,49,"{""colsample_bytree"": 0.9930123597150056, ""gamma"": 0.27486663371212977, ""learning_rate"": 0.08429782634209868, ""max_depth"": 3, ""min_child_weight"": 1.0130617314583983, ""reg_alpha"": 0.1454463681019918, ""reg_lambda"": 0.7526796994080179, ""subsample"": 0.9299303357064361}","[{""cv_seed"": 42, ""prescreen_score"": 0.6169467209437305, ""run"": 1, ""trial"": 97, ""tuning_values"": [0.568968135553761, 0.8258736100534761]}]","[0.6046156250086502, 0.5375825011457054, 0.5319147418454476, 0.5987204398247704, 0.5720073699442315, 0.6380734126846189, 0.5667790707405188, 0.5363900537044111, 0.5561846204536464, 0.5924949690570446, 0.5669067805213411, 0.5604653580169913, 0.5582803367563605, 0.5587607863957019, 0.6159857678948412]"
2,3,0.5651058498050133,0.5728775835140577,0.031086934836177704,0.5235781464081245,0.635514599211883,15,57,"{""colsample_bytree"": 0.9799562746263822, ""gamma"": 0.05186179255300359, ""learning_rate"": 0.06780072268932334, ""max_depth"": 3, ""min_child_weight"": 1.5518334679287937, ""reg_alpha"": 1.093600331125176e-08, ""reg_lambda"": 0.7399988108457145, ""subsample"": 0.9040534379173037}","[{""cv_seed"": 42, ""prescreen_score"": 0.6157938170993559, ""run"": 1, ""trial"": 127, ""tuning_values"": [0.5676735914636903, 0.8257954712296142]}]","[0.6032734964832042, 0.534546754434409, 0.5235781464081245, 0.6042746109072362, 0.5726949490854777, 0.635514599211883, 0.5691081803135687, 0.5379322095758201, 0.5540366386706005, 0.5951614401954582, 0.5716955623014032, 0.5604424123590762, 0.557151317703133, 0.5562097546018503, 0.6175436804596203]"
3,6,0.5646788103629445,0.5720973030952048,0.029673970929040804,0.5288729398252502,0.6298723119961068,15,50,"{""colsample_bytree"": 0.9322517920102469, ""gamma"": 0.14808930346818072, ""learning_rate"": 0.08175725655761863, ""max_depth"": 3, ""min_child_weight"": 13.780336485751999, ""reg_alpha"": 1.3130541002425655e-05, ""reg_lambda"": 0.8035311499213378, ""subsample"": 0.897400070346666}","[{""cv_seed"": 42, ""prescreen_score"": 0.6151640842953152, ""run"": 1, ""trial"": 9, ""tuning_values"": [0.567280131627411, 0.8237655143421481]}]","[0.6027662675458341, 0.5332604700666775, 0.5288729398252502, 0.5996172322685842, 0.5718837484307085, 0.6298723119961068, 0.5633655300479208, 0.5374073332949055, 0.5586097120344603, 0.5966008823990976, 0.565228107280935, 0.5594299611775467, 0.5583063548413423, 0.5579335389749199, 0.6183051562437817]"
4,24,0.5646663202467516,0.5716264453486143,0.027840500407450994,0.5262638392223544,0.629989763125082,15,37,"{""colsample_bytree"": 0.9757457939205525, ""gamma"": 0.3117490066608978, ""learning_rate"": 0.10278339366084902, ""max_depth"": 3, ""min_child_weight"": 1.9509411379116095, ""reg_alpha"": 8.065909982046131e-08, ""reg_lambda"": 0.5401512247235765, ""subsample"": 0.6893260413390082}","[{""cv_seed"": 242, ""prescreen_score"": 0.6225384153853416, ""run"": 3, ""trial"": 147, ""tuning_values"": [0.574180884734756, 0.8330057100716332]}]","[0.5928919726838844, 0.5382203162686955, 0.5262638392223544, 0.5958111203558185, 0.5678356441876761, 0.629989763125082, 0.5634310677831049, 0.5464417441111897, 0.5533313442725684, 0.5892754445450595, 0.5716298199495052, 0.5686522474381052, 0.5558036889468617, 0.5566696007667513, 0.6181490665725565]"
5,2,0.5641595831799237,0.5714181110167156,0.029034111347167622,0.5222198130240661,0.6296222025348048,15,46,"{""colsample_bytree"": 0.9591110441904118, ""gamma"": 0.30700491202089564, ""learning_rate"": 0.08402557256065829, ""max_depth"": 3, ""min_child_weight"": 1.812442525803497, ""reg_alpha"": 0.01912048606640952, ""reg_lambda"": 0.7477944700609412, ""subsample"": 0.8608385394076136}","[{""cv_seed"": 42, ""prescreen_score"": 0.6165507687594689, ""run"": 1, ""trial"": 82, ""tuning_values"": [0.5673941481124433, 0.8330723173881649]}]","[0.6033440012266355, 0.5362070174216464, 0.5222198130240661, 0.5983810094505919, 0.5768188994392768, 0.6296222025348048, 0.565762736453055, 0.5346665936493533, 0.5583585899421887, 0.5871790885126972, 0.5665273125548699, 0.5645103882940322, 0.5580425718767547, 0.5582628930281879, 0.6113685478425755]"
6,8,0.5635692539377256,0.5710441221793359,0.029899472966441094,0.5222468656451175,0.6297862279630311,15,50,"{""colsample_bytree"": 0.9416772947293928, ""gamma"": 0.13980884208261724, ""learning_rate"": 0.0807923075037538, ""max_depth"": 3, ""min_child_weight"": 1.8367151350908306, ""reg_alpha"": 0.017078575633043817, ""reg_lambda"": 0.7570661807309133, ""subsample"": 0.893062369118794}","[{""cv_seed"": 42, ""prescreen_score"": 0.6149980548043936, ""run"": 1, ""trial"": 81, ""tuning_values"": [0.5660791050182363, 0.8302386619185416]}]","[0.5998081111784205, 0.5352110392999158, 0.5222468656451175, 0.5963702465121327, 0.5767592624555955, 0.6297862279630311, 0.5647384707679217, 0.5372202110515788, 0.5547173224532772, 0.5955039121571859, 0.5675021125389361, 0.5576655967371597, 0.5584966066442887, 0.5530740449387256, 0.6165618023467508]"
7,4,0.5632126661673509,0.570387966666748,0.028701201997588396,0.5147539843226584,0.6284726503586203,15,44,"{""colsample_bytree"": 0.9911303129276234, ""gamma"": 0.1808623384738795, ""learning_rate"": 0.07933262244397218, ""max_depth"": 4, ""min_child_weight"": 1.3769497505219788, ""reg_alpha"": 0.09430111847076662, ""reg_lambda"": 0.6594564706577767, ""subsample"": 0.9466313691286421}","[{""cv_seed"": 42, ""prescreen_score"": 0.6154319991035333, ""run"": 1, ""trial"": 101, ""tuning_values"": [0.5631566022582806, 0.8529624747183462]}]","[0.5912470774227785, 0.5339769196836823, 0.5147539843226584, 0.6033833675208865, 0.5724216623413967, 0.6284726503586203, 0.5599638871230531, 0.549920778946218, 0.558994106197567, 0.5792196480597752, 0.5751795627472468, 0.5673860966065889, 0.5526219999962808, 0.5560982482484446, 0.6121795104260235]"
8,17,0.5624396405868901,0.5689667098442238,0.026108277029334777,0.519541356817276,0.6168185954049774,15,27,"{""colsample_bytree"": 0.9331219548189118, ""gamma"": 0.19702076465799806, ""learning_rate"": 0.09820591883640299, ""max_depth"": 5, ""min_child_weight"": 2.048643036810339, ""reg_alpha"": 7.229277460639373e-08, ""reg_lambda"": 8.63883321673478, ""subsample"": 0.8754594854537768}","[{""cv_seed"": 242, ""prescreen_score"": 0.6247859299860744, ""run"": 3, ""trial"": 21, ""tuning_values"": [0.5722185206352017, 0.8624849902590818]}]","[0.5848808791506146, 0.5374270703262417, 0.519541356817276, 0.5871286597541265, 0.57573750561025, 0.6168185954049774, 0.5689673423411242, 0.5457943933189976, 0.5555735289836541, 0.5815387127800855, 0.5757382555693128, 0.5652571718960759, 0.5424746396643528, 0.5619336969525748, 0.6156888390936928]"
9,18,0.5622973684123076,0.5692134192871343,0.027664203499306712,0.5178195265489983,0.6163450351749677,15,34,"{""colsample_bytree"": 0.9419551338036383, ""gamma"": 0.200384763048916, ""learning_rate"": 0.09692442862772063, ""max_depth"": 4, ""min_child_weight"": 2.6042451999035743, ""reg_alpha"": 4.395700455113481e-08, ""reg_lambda"": 5.198520963560764, ""subsample"": 0.6668928992381611}","[{""cv_seed"": 242, ""prescreen_score"": 0.624122553357901, ""run"": 3, ""trial"": 93, ""tuning_values"": [0.5726755368655523, 0.8543874078978357]}]","[0.5874917100623641, 0.5319105068637947, 0.5178195265489983, 0.601428106322174, 0.569555059589968, 0.6149102486732628, 0.5616352004376975, 0.5453973101308542, 0.5540564272647658, 0.5906195090853742, 0.5712746622791784, 0.565161757955731, 0.5505722772302398, 0.5600239516876443, 0.6163450351749677]"
10,5,0.5619225844052765,0.5681361471869603,0.02485425112673506,0.5205403842502113,0.616094498999055,15,30,"{""colsample_bytree"": 0.8687027463053487, ""gamma"": 0.001776486582516626, ""learning_rate"": 0.0969875278104392, ""max_depth"": 5, ""min_child_weight"": 1.588831028452092, ""reg_alpha"": 0.005504052394279527, ""reg_lambda"": 0.7650678104617401, ""subsample"": 0.922813233911417}","[{""cv_seed"": 42, ""prescreen_score"": 0.6153336113061288, ""run"": 1, ""trial"": 54, ""tuning_values"": [0.5604460577309202, 0.8713384625410079]}]","[0.5761204143259748, 0.5404792962494404, 0.5205403842502113, 0.5872605252333618, 0.5778296685956125, 0.616094498999055, 0.5721268144206061, 0.5515188990107199, 0.5569090977982177, 0.5846076777957888, 0.566545953319309, 0.5683906716993717, 0.5438413665141714, 0.5494433523849155, 0.6103335872076485]"
