rank,candidate_id,stability_score,mean_score,std_score,min_score,max_score,n_repeated_folds,final_n_estimators,parameters,source_trials,fold_scores
1,12,0.5635741997437105,0.5707300683059401,0.028623474248918566,0.5128347260003204,0.6256257721078553,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""min_samples_split"": 16, ""n_estimators"": 900}","[{""cv_seed"": 242, ""prescreen_score"": 0.5675603891702793, ""run"": 3, ""trial"": 136, ""tuning_values"": [0.5675603891702793]}, {""cv_seed"": 242, ""prescreen_score"": 0.5675603891702793, ""run"": 3, ""trial"": 139, ""tuning_values"": [0.5675603891702793]}]","[0.575782825320963, 0.5569706602966463, 0.5128347260003204, 0.5994118054913562, 0.5733821046932882, 0.6256257721078553, 0.5819511318047134, 0.546194254885297, 0.5578247026451207, 0.5931710954921435, 0.5666593392421518, 0.5779600317246029, 0.5385113265294618, 0.5435170688227772, 0.6111541795324028]"
2,13,0.5635741997437105,0.5707300683059401,0.028623474248918566,0.5128347260003204,0.6256257721078553,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""min_samples_split"": 17, ""n_estimators"": 900}","[{""cv_seed"": 242, ""prescreen_score"": 0.5675603891702793, ""run"": 3, ""trial"": 141, ""tuning_values"": [0.5675603891702793]}]","[0.575782825320963, 0.5569706602966463, 0.5128347260003204, 0.5994118054913562, 0.5733821046932882, 0.6256257721078553, 0.5819511318047134, 0.546194254885297, 0.5578247026451207, 0.5931710954921435, 0.5666593392421518, 0.5779600317246029, 0.5385113265294618, 0.5435170688227772, 0.6111541795324028]"
3,3,0.563117654866237,0.5703491362900847,0.02892592569539048,0.5113805655997793,0.6227339713708948,15,,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 7, ""min_samples_split"": 34, ""n_estimators"": 1000}","[{""cv_seed"": 42, ""prescreen_score"": 0.5636869000442664, ""run"": 1, ""trial"": 107, ""tuning_values"": [0.5636869000442664]}]","[0.5763278211410569, 0.5586763356068492, 0.5113805655997793, 0.5988929574533556, 0.5731568204202908, 0.6227339713708948, 0.5816123197640365, 0.5459855040063478, 0.5594532663194068, 0.5967096213963843, 0.5592569049478219, 0.5772148396055848, 0.5386585312660385, 0.5420838183841359, 0.6130937670692872]"
4,2,0.5628746010215434,0.57005077758528,0.028704706254946494,0.5115248471986188,0.6249005931514587,15,,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""min_samples_split"": 36, ""n_estimators"": 900}","[{""cv_seed"": 42, ""prescreen_score"": 0.5636920215528066, ""run"": 1, ""trial"": 103, ""tuning_values"": [0.5636920215528066]}]","[0.5779597857003181, 0.5584968859362895, 0.5115248471986188, 0.5955074797275178, 0.5749711092012889, 0.6249005931514587, 0.5801305806042379, 0.5445322247417493, 0.5613791187939898, 0.5910220047377192, 0.5609168306666106, 0.5800168412653631, 0.5378839977337219, 0.5403556419203431, 0.6111637223999717]"
5,4,0.5628189940722818,0.5698768800929546,0.028231544082691035,0.5117146285254567,0.6209180422082511,15,,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 36, ""n_estimators"": 1000}","[{""cv_seed"": 42, ""prescreen_score"": 0.5636068083474889, ""run"": 1, ""trial"": 112, ""tuning_values"": [0.5636068083474889]}, {""cv_seed"": 42, ""prescreen_score"": 0.5636068083474889, ""run"": 1, ""trial"": 121, ""tuning_values"": [0.5636068083474889]}, {""cv_seed"": 42, ""prescreen_score"": 0.5636068083474889, ""run"": 1, ""trial"": 122, ""tuning_values"": [0.5636068083474889]}]","[0.5785841857274286, 0.5589804956855263, 0.5117146285254567, 0.5977702502636081, 0.5709844815354248, 0.6209180422082511, 0.579252996392939, 0.5453047954528943, 0.5585981471976358, 0.5932612773715135, 0.5589340800034036, 0.5788648410585083, 0.5375543674520512, 0.5453522219380551, 0.612078390581623]"
6,5,0.5627111326371312,0.569951882771443,0.02896300053724729,0.5111801549818972,0.6237097316552166,15,,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 29, ""n_estimators"": 900}","[{""cv_seed"": 42, ""prescreen_score"": 0.5635891149288945, ""run"": 1, ""trial"": 26, ""tuning_values"": [0.5635891149288945]}]","[0.5760915426854437, 0.5587215734420091, 0.5111801549818972, 0.6002152185748054, 0.5717370849603175, 0.6237097316552166, 0.579594887826521, 0.5434242930594305, 0.5560868099244055, 0.5937433212375053, 0.5598821751457176, 0.5794585162227021, 0.5417205524440015, 0.5413819622865962, 0.6123304171250766]"
7,1,0.5622886819448268,0.5693470064802145,0.028233298141550876,0.511077710827191,0.6196769423096539,15,,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""min_samples_split"": 38, ""n_estimators"": 1000}","[{""cv_seed"": 42, ""prescreen_score"": 0.5639881579681532, ""run"": 1, ""trial"": 124, ""tuning_values"": [0.5639881579681532]}, {""cv_seed"": 42, ""prescreen_score"": 0.5639881579681532, ""run"": 1, ""trial"": 129, ""tuning_values"": [0.5639881579681532]}]","[0.5788780424460211, 0.5560926401545004, 0.511077710827191, 0.5997873103216042, 0.5741050860914488, 0.6196769423096539, 0.5776156010847225, 0.5460360295463441, 0.5546612576801037, 0.5933688382251829, 0.5603961609259328, 0.5776468337312831, 0.5380991047759086, 0.5433386123282248, 0.6094249267550965]"
8,10,0.5615972818759887,0.5687353751757455,0.028552373199027186,0.5093082490758166,0.6201733443182541,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""log_loss"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""min_samples_split"": 17, ""n_estimators"": 800}","[{""cv_seed"": 242, ""prescreen_score"": 0.5675690458016428, ""run"": 3, ""trial"": 115, ""tuning_values"": [0.5675690458016428]}]","[0.573472826979437, 0.5515814326215431, 0.5093082490758166, 0.5947335871831734, 0.5740718117027863, 0.6201733443182541, 0.5783866824489916, 0.5444311136259551, 0.5561706561861358, 0.5908556944858759, 0.5644237537537303, 0.5817873137551324, 0.531981854121755, 0.5488969143739323, 0.6107553930036642]"
9,11,0.5615972818759887,0.5687353751757455,0.028552373199027186,0.5093082490758166,0.6201733443182541,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""log_loss"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""min_samples_split"": 18, ""n_estimators"": 800}","[{""cv_seed"": 242, ""prescreen_score"": 0.5675690458016428, ""run"": 3, ""trial"": 119, ""tuning_values"": [0.5675690458016428]}]","[0.573472826979437, 0.5515814326215431, 0.5093082490758166, 0.5947335871831734, 0.5740718117027863, 0.6201733443182541, 0.5783866824489916, 0.5444311136259551, 0.5561706561861358, 0.5908556944858759, 0.5644237537537303, 0.5817873137551324, 0.531981854121755, 0.5488969143739323, 0.6107553930036642]"
10,14,0.5614092141102244,0.5684051526945345,0.027983754337240506,0.5115698459868494,0.6197532598790931,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""log_loss"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""min_samples_split"": 17, ""n_estimators"": 700}","[{""cv_seed"": 242, ""prescreen_score"": 0.567307238210729, ""run"": 3, ""trial"": 111, ""tuning_values"": [0.567307238210729]}]","[0.5736098115601292, 0.5503279830580933, 0.5115698459868494, 0.5931767248636629, 0.5731646673122873, 0.6197532598790931, 0.5755738519732896, 0.5453339575974073, 0.5571954505691342, 0.5898355465644274, 0.5640062835296454, 0.5818590041992812, 0.5323815841108569, 0.5475851608616414, 0.6107041583522199]"
