number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
19,0.7132827995055561,2026-08-26 17:41:12.741448,2026-08-26 17:42:22.864371,0 days 00:01:10.122923,False,balanced_subsample,log_loss,12.0,1.0,10,15,400,0.7132827995055561,0.006978460620182495,"[0.7026732824095232, 0.7171472930547299, 0.7199744482474267, 0.7192768486540432, 0.7073421251620567]",COMPLETE
20,0.8767270092132208,2026-08-26 17:42:22.864699,2026-08-26 17:43:36.711989,0 days 00:01:13.847290,False,,entropy,,0.5,3,5,700,0.8767270092132208,0.006328490945160953,"[0.871144392176716, 0.8770265313127217, 0.8843615460497124, 0.8828978136169848, 0.8682047629099685]",COMPLETE
21,0.8767270092132208,2026-08-26 17:43:36.712328,2026-08-26 17:44:50.050001,0 days 00:01:13.337673,False,,entropy,,0.5,3,5,700,0.8767270092132208,0.006328490945160953,"[0.871144392176716, 0.8770265313127217, 0.8843615460497124, 0.8828978136169848, 0.8682047629099685]",COMPLETE
22,0.8767270092132208,2026-08-26 17:44:50.050364,2026-08-26 17:46:03.384814,0 days 00:01:13.334450,False,,entropy,,0.5,3,5,700,0.8767270092132208,0.006328490945160953,"[0.871144392176716, 0.8770265313127217, 0.8843615460497124, 0.8828978136169848, 0.8682047629099685]",COMPLETE
23,0.8760493274778103,2026-08-26 17:46:03.385168,2026-08-26 17:47:27.098739,0 days 00:01:23.713571,False,,entropy,,0.5,3,3,800,0.8760493274778103,0.006055079334521243,"[0.8701124004326499, 0.875563584703309, 0.8841165991751234, 0.8816068247194894, 0.8688472283584803]",COMPLETE
24,0.8767270092132208,2026-08-26 17:47:27.099052,2026-08-26 17:48:40.771300,0 days 00:01:13.672248,False,,entropy,,0.5,3,5,700,0.8767270092132208,0.006328490945160953,"[0.871144392176716, 0.8770265313127217, 0.8843615460497124, 0.8828978136169848, 0.8682047629099685]",COMPLETE
25,0.8635585302382592,2026-08-26 17:48:40.771626,2026-08-26 17:50:11.245328,0 days 00:01:30.473702,False,,entropy,,0.5,6,14,900,0.8635585302382592,0.0064182750030004785,"[0.8596925328925892, 0.8617068868554489, 0.8749283089712033, 0.8653341756410077, 0.8561307468310467]",COMPLETE
26,0.8533034854199348,2026-08-26 17:50:11.245653,2026-08-26 17:50:54.739420,0 days 00:00:43.493767,True,,entropy,,0.5,5,2,700,0.8533034854199348,0.006801603103083205,"[0.8502094985237898, 0.8488657788406949, 0.8640703651909813, 0.8580452992442366, 0.8453264852999712]",COMPLETE
27,0.8046136296322286,2026-08-26 17:50:54.739735,2026-08-26 17:52:04.850366,0 days 00:01:10.110631,False,,entropy,12.0,0.5,11,7,800,0.8046136296322286,0.004474217453879859,"[0.798658960517439, 0.803787749498226, 0.8115983816953659, 0.8072633763388198, 0.801759680111292]",COMPLETE
28,0.863490430719013,2026-08-26 17:52:04.850726,2026-08-26 17:53:35.781323,0 days 00:01:30.930597,False,,entropy,16.0,0.5,3,5,900,0.863490430719013,0.007385101687001438,"[0.8547126324876193, 0.8619583179183623, 0.8744715424843007, 0.869175272711466, 0.8571343879933161]",COMPLETE
29,0.8465199269541912,2026-08-26 17:53:35.781640,2026-08-26 17:54:32.812771,0 days 00:00:57.031131,True,,entropy,32.0,0.7,7,4,700,0.8465199269541912,0.006345590854244134,"[0.8427348010294718, 0.8436537241997293, 0.8573217752474833, 0.8496165617161892, 0.8392727725780823]",COMPLETE
