run_index,run_name,held_out_site,model,train_accuracy,train_balanced_accuracy,train_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro,leave_out_site_accuracy,leave_out_site_balanced_accuracy,leave_out_site_f1_macro,cv_selection_score_mean,cv_selection_score_std,selection_scoring,n_trials,searches,final_n_estimators,selected_parameters,train_csv,test_csv,leave_out_site_csv,scene_manifest_path,model_path,metrics_path,metadata_path
4,held_out_greifensee,greifensee,decision_tree,0.9937017285766826,0.9937485468858469,0.9934788596725577,0.4755604557148107,0.46573481308139303,0.4627568473459216,0.5398505603985057,0.5364409722222222,0.48895627911251216,0.785862674413828,0.0031060969243045054,balanced_accuracy,200,1,,"{""ccp_alpha"": 0.00011988902140243029, ""class_weight"": null, ""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/DT_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/model_metadata.json
4,held_out_greifensee,greifensee,random_forest,1.0,1.0,1.0,0.5207644248438075,0.5105461903564533,0.5050580103459796,0.6556662515566625,0.6654737103174603,0.6057497742565502,0.8822731528223159,0.005203180537457979,balanced_accuracy,200,1,,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.5, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 700, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/RF_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/model_metadata.json
4,held_out_greifensee,greifensee,xgboost,1.0,1.0,1.0,0.5246233002572583,0.5170875574119945,0.512031828527807,0.6693648816936488,0.6872569444444444,0.6248693794459367,0.8973207147022837,0.004742978903695779,balanced_accuracy,200,1,1393.0,"{""colsample_bytree"": 0.9594089224781386, ""gamma"": 0.0012307215619306493, ""learning_rate"": 0.02337913498270422, ""max_depth"": 10, ""min_child_weight"": 0.9528630278916974, ""n_estimators"": 1393, ""reg_alpha"": 7.2131047269559e-05, ""reg_lambda"": 0.14884950859785154, ""subsample"": 0.8523396783883004}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/XGB_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/model_metadata.json
