,precision,recall,f1-score,support
thin_cloud,0.7702863961813843,0.7594117647058823,0.7648104265402843,1700.0
cloud_affected,0.6742690058479532,0.7030487804878048,0.6883582089552239,1640.0
water,0.8134592680047226,0.7919540229885057,0.8025626092020967,1740.0
accuracy,0.7523622047244094,0.7523622047244094,0.7523622047244094,0.7523622047244094
macro avg,0.7526715566780201,0.7514715227273977,0.7519104148992016,5080.0
weighted avg,0.7540762144541759,0.7523622047244094,0.7530598676804525,5080.0
