,precision,recall,f1-score,support
thin_cloud,0.8755760368663594,0.8941176470588236,0.8847497089639115,1700.0
cloud_affected,0.8216444981862152,0.8286585365853658,0.825136612021858,1640.0
water,0.9159763313609467,0.8896551724137931,0.9026239067055394,1740.0
accuracy,0.8714566929133858,0.8714566929133858,0.8714566929133858,0.8714566929133858
macro avg,0.8710656221378404,0.8708104520193274,0.8708367425637696,5080.0
weighted avg,0.8720029638319392,0.8714566929133858,0.8716268005161681,5080.0
