lst_raw,lst_filt,lst_class,lakeN,scene_id,bluemap,greenmap,redmap,nirmap,swirmap1,swirmap2,cirrusmap,aerosolmap,btmap1,btmap2,raamap,vzamap,szamap,hotmap,whitenessmap,ndsimap1,ndsimap2,ndvimap,ndwimap,mndwimap1,mndwimap2,waterratiomap1,waterratiomap2,brtestmap1,brtestmap2
-0.33251953125,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.1534044,0.11090899,0.088082545,0.0863064154982566,0.0604539401829242,0.0482842251658439,0.03894312,0.18386161,0.65786743,0.07852173,59.789993,4.85,72.3,0.1093631274998188,0.6119097931484399,0.2944338754571288,0.3933884138161365,-0.0101848706896367,0.1247497714754518,0.2944338754571288,0.3933884138161365,1.3558943501499898,1.4784946123463487,0.7004570846085642,0.5594511704268296
-1.362945556640625,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.14310144,0.09489611,0.072571464,0.0705958232283592,0.0451101996004581,0.0361540168523788,0.026210025,0.17260422,-0.228302,-0.76916504,59.70999,5.07,72.32,0.1068157069385051,0.7646307383141779,0.3555976098230628,0.4482413974444618,-0.0137995256767578,0.1468366736447419,0.3555976098230628,0.4482413974444618,1.447353972599582,1.5687852241120552,0.638992472040992,0.5121268539560755
-1.110992431640625,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.14744784,0.0993742,0.07744468,0.0779715180397033,0.0455711930990219,0.0379979386925697,0.0276588,0.1779384,-0.019592285,-1.045166,59.70999,5.08,72.32,0.1087254993617534,0.7282696321810991,0.3711950006170891,0.4467882677390158,0.0033898526094137,0.1206833744354006,0.3711950006170891,0.4467882677390158,1.4312368235146116,1.5247021279644015,0.5844594827026056,0.4873310107059997
-0.11102294921875,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.1528781,0.1049228,0.08393822,0.082359455525875,0.0528889670968055,0.0426269322633743,0.03493041,0.18254595,0.84069824,0.38235474,53.55999,4.87,72.3,0.1109089963138103,0.6841194503753631,0.3297208738133368,0.4222025178008856,-0.0094935971601555,0.1204777543692366,0.3297208738133368,0.4222025178008856,1.396400906177449,1.5110527094185418,0.6421723742477791,0.517571807525878
-1.967620849609375,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.1522552,0.102008365,0.08021057,0.0789593234658241,0.0461638793349266,0.0389198996126651,0.0269344,0.18103354,-0.72631836,-1.5680237,59.719994,5.06,72.32,0.1121499240398407,0.7312462684351251,0.3768889779237466,0.4476636791988864,-0.0078610537141968,0.1273655082417311,0.3768889779237466,0.4476636791988864,1.4563160751689082,1.5458104223678422,0.5846539370984817,0.4929107533388483
-0.05645751953125,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.15689084,0.11301404,0.09018755,0.0888719260692596,0.061045978218317,0.0503892488777637,0.04045611,0.1856377,0.8855896,0.40283203,53.55999,4.87,72.3,0.1117970645427703,0.6141761230956962,0.2985640469377961,0.3832529505289361,-0.00734741078043,0.1195829333457727,0.2985640469377961,0.3832529505289361,1.3554191071051092,1.4591402955334585,0.6868983369477409,0.5669872490272622
-0.002197265625,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.15419377,0.10775147,0.08591172,0.0836093500256538,0.0566385798156261,0.0447319820523262,0.0364434,0.18201971,0.9305115,0.42669678,53.55999,4.87,72.3,0.1112379133701324,0.6596065234037684,0.310924461154778,0.4132873760956108,-0.0135816211617303,0.1261601866437232,0.310924461154778,0.4132873760956108,1.380863072589887,1.5089697464518386,0.677419209672695,0.5350117186487049
-2.496978759765625,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.15811627,0.10628887,0.08561064,0.0867301672697067,0.0509053766727447,0.0419491939246654,0.032795448,0.18518241,-1.1627197,-1.5367737,59.719994,5.06,72.32,0.1153109446167945,0.7104423459304837,0.3523252041460301,0.4340293975578674,0.0064959903493084,0.1013304459327065,0.3523252041460301,0.4340293975578674,1.3942584174961146,1.4912998782963505,0.5869396805663152,0.4836747725184838
-1.5870361328125,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.14487952,0.098057084,0.07593003,0.0760617479681968,0.0466248467564582,0.0382613465189933,0.027131986,0.17464568,-0.41323853,-0.9830017,59.730003,5.06,72.32,0.1069145053625106,0.7261463885028011,0.3554848683343221,0.4386474897998781,0.0008666180293903,0.1263237043104371,0.3554848683343221,0.4386474897998781,1.4181428160903486,1.5218894635401317,0.6129867903634449,0.5030300715017924
-0.986114501953125,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.14757954,0.09700341,0.074283674,0.0740861073136329,0.0437931157648563,0.0360881686210632,0.02647343,0.17589694,0.08312988,-0.7140503,59.70999,5.08,72.32,0.110437698662281,0.7769517570315294,0.377923336977311,0.4576941742232894,-0.0013315854715222,0.1339491812263823,0.377923336977311,0.4576941742232894,1.4530727100366676,1.5546921518885646,0.5911110375858247,0.4871111457953799
-0.5179443359375,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.15596986,0.114000745,0.08999023,0.0907138362526893,0.0627563372254371,0.0503234751522541,0.03933781,0.18583506,0.5047302,-0.16790771,59.789993,4.86,72.3,0.1109747439622879,0.5997804944308611,0.2899143118506399,0.3875099474734409,0.0040043805294938,0.1137530541747102,0.2899143118506399,0.3875099474734409,1.3291896979661253,1.4463617570424687,0.6918055703280507,0.5547497187978552
-0.28546142578125,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.1475348,0.101380885,0.078238145,0.0754110515117645,0.0495069809257984,0.0393162965774536,0.03182122,0.1767262,0.6968689,0.29370117,53.55999,4.87,72.29,0.1084157302975654,0.705787704460986,0.3437910896580118,0.441121759011941,-0.0183996602536866,0.146894896338648,0.3437910896580118,0.441121759011941,1.437895119378319,1.5656164999528523,0.6564950353208516,0.5213598774885145
-0.031524658203125,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.14589117,0.09750183,0.074753605,0.071203276515007,0.0414859317243099,0.0335963852703571,0.02675876,0.17376761,0.9065552,0.41644287,53.549995,4.86,72.29,0.1085143722593784,0.7513951867307761,0.4030275553969294,0.4874623519620939,-0.0243245010554108,0.1558847471136608,0.4030275553969294,0.4874623519620939,1.528588555969285,1.643664026785208,0.5826407681613671,0.4718376304393275
-0.169158935546875,,1.0,ageri,LC08_L1TP_194027_20230101_20230110_02_T1,0.14832376,0.10401074,0.08099949,0.0773834511637687,0.0510191693902015,0.0413544327020645,0.031032272,0.17731789,0.79278564,0.33459473,53.55999,4.87,72.29,0.1078240126371383,0.6698223985512881,0.3418151361016144,0.4310269457350403,-0.022831008986396,0.1467923935596662,0.3418151361016144,0.4310269457350403,1.4408602506175616,1.558139879268826,0.6593033603816437,0.5344092577952484
