,precision,recall,f1-score,support
thin_cloud,0.6957446808510638,0.7622377622377622,0.7274749721913237,858.0
cloud_affected,0.5439453125,0.6727053140096618,0.6015118790496761,828.0
water,0.8624454148471615,0.661641541038526,0.7488151658767772,1194.0
accuracy,0.6947916666666667,0.6947916666666667,0.6947916666666667,0.6947916666666667
macro avg,0.7007118027327418,0.6988615390953167,0.6926006723725924,2880.0
weighted avg,0.7212137084193485,0.6947916666666667,0.7001078715451943,2880.0
