rank,candidate_id,stability_score,mean_score,std_score,min_score,max_score,n_repeated_folds,final_n_estimators,parameters,source_trials,fold_scores
13,20,0.5618201553735026,0.5695125070146171,0.030769406564457723,0.5136725108344518,0.6259459402818774,15,35,"{""colsample_bytree"": 0.9319662264039262, ""gamma"": 0.6630445716927665, ""learning_rate"": 0.06965882326321902, ""max_depth"": 6, ""min_child_weight"": 1.1778103004768061, ""reg_alpha"": 1.6871773829910928e-05, ""reg_lambda"": 0.8641072433414232, ""subsample"": 0.8552217115704088}","[{""cv_seed"": 242, ""prescreen_score"": 0.6301933890202879, ""run"": 3, ""trial"": 50, ""tuning_values"": [0.578768891328907, 0.8592232815376232]}]","[0.5136725108344518, 0.6050111546212928, 0.57978809233445, 0.5565272134344237, 0.5290124765559047, 0.5824585554328555, 0.5497825802349933, 0.5781788652575051, 0.5284657595869686, 0.6259459402818774, 0.5981597638570949, 0.558464084854796, 0.606354706530546, 0.5715041362413922, 0.559361765160706]"
14,7,0.5617385550174518,0.5692386202509258,0.030000260933895753,0.5118974693195961,0.6259356752689981,15,35,"{""colsample_bytree"": 0.985177535247508, ""gamma"": 0.1322018006778011, ""learning_rate"": 0.0717450825142033, ""max_depth"": 6, ""min_child_weight"": 3.324074745790592, ""reg_alpha"": 0.00045346488993147665, ""reg_lambda"": 2.1702293915402757, ""subsample"": 0.6827686759298067}","[{""cv_seed"": 42, ""prescreen_score"": 0.6159277193614018, ""run"": 1, ""trial"": 143, ""tuning_values"": [0.5604213719660539, 0.8763062094840057]}]","[0.5118974693195961, 0.6137543889923406, 0.5792795916372074, 0.5530472334752266, 0.5441281764058992, 0.5795523775192047, 0.549742003014354, 0.5737005395775074, 0.5263218613096359, 0.6259356752689981, 0.5823295093414956, 0.561463556818577, 0.60580555567277, 0.5722054920751584, 0.5594158733359132]"
15,11,0.5616680796597243,0.5690421045437211,0.029496099535987114,0.5141034388918236,0.6290533802784013,15,55,"{""colsample_bytree"": 0.917965154724126, ""gamma"": 0.03549407364093475, ""learning_rate"": 0.046996162073758174, ""max_depth"": 6, ""min_child_weight"": 1.1195197772735983, ""reg_alpha"": 0.007137109109125147, ""reg_lambda"": 1.5537803599128264, ""subsample"": 0.7395144894510673}","[{""cv_seed"": 142, ""prescreen_score"": 0.6300491637081101, ""run"": 2, ""trial"": 74, ""tuning_values"": [0.575116192406807, 0.8831007004701181]}]","[0.5141034388918236, 0.6010509432169733, 0.5747765668229244, 0.5503760825170091, 0.5384139534543865, 0.5848550737889896, 0.5467916159369254, 0.5788408666744904, 0.5360400253552281, 0.6290533802784013, 0.594831470325979, 0.5661478667241022, 0.6030335840410787, 0.5661387808021529, 0.5511779193253509]"
16,17,0.5616240974656214,0.5693684215829886,0.03097729646946919,0.5072485794408079,0.6268257425918679,15,27,"{""colsample_bytree"": 0.9086787761299373, ""gamma"": 0.15724599791465196, ""learning_rate"": 0.08393956016418451, ""max_depth"": 6, ""min_child_weight"": 1.3906205055105036, ""reg_alpha"": 8.106865081591261e-08, ""reg_lambda"": 0.536783071257637, ""subsample"": 0.7143391636681949}","[{""cv_seed"": 242, ""prescreen_score"": 0.6329737561510175, ""run"": 3, ""trial"": 132, ""tuning_values"": [0.5790401669312256, 0.878433892063889]}]","[0.5072485794408079, 0.5995355743473649, 0.5768838383838384, 0.5543486094613619, 0.5362767493791929, 0.5903936726172511, 0.543209954045808, 0.5775822069860672, 0.5330205618351417, 0.6268257425918679, 0.5976798813950444, 0.562176256400667, 0.6080391943160599, 0.5666099952206315, 0.5606955073237255]"
17,12,0.5615756309417099,0.5694079423492793,0.031329245630277176,0.5069801142861169,0.6291152459916584,15,35,"{""colsample_bytree"": 0.8642109417883137, ""gamma"": 0.2461793471952064, ""learning_rate"": 0.06836663910639085, ""max_depth"": 6, ""min_child_weight"": 4.142336285186791, ""reg_alpha"": 3.7197236589949166e-05, ""reg_lambda"": 1.6054752321951649, ""subsample"": 0.7885397250245542}","[{""cv_seed"": 142, ""prescreen_score"": 0.6298139052556335, ""run"": 2, ""trial"": 85, ""tuning_values"": [0.5755291760629937, 0.8783577587181572]}]","[0.5069801142861169, 0.6066571087283844, 0.5783071082706844, 0.5580448912333741, 0.5360382244371252, 0.5888568306603353, 0.5520816559214164, 0.5790289319969303, 0.5285632157446281, 0.6291152459916584, 0.5909006967550897, 0.5618908071167724, 0.6058899437626379, 0.5649295872324812, 0.5538347731015534]"
18,4,0.5612953564690886,0.5690774813561317,0.031128499548172473,0.5084878106748102,0.6194896349734669,15,39,"{""colsample_bytree"": 0.9763026090978755, ""gamma"": 0.04069523271368651, ""learning_rate"": 0.07016671104551053, ""max_depth"": 5, ""min_child_weight"": 3.4017893815216533, ""reg_alpha"": 0.0014417478047568212, ""reg_lambda"": 2.0488995061337403, ""subsample"": 0.7073296533279181}","[{""cv_seed"": 42, ""prescreen_score"": 0.6175934572342378, ""run"": 1, ""trial"": 117, ""tuning_values"": [0.5624581947996623, 0.874873176734502]}]","[0.5084878106748102, 0.6098003238628555, 0.6010185005085668, 0.5543040360719214, 0.5386803028801578, 0.5839777819251327, 0.5449073707922261, 0.5665536702703772, 0.5313579395937413, 0.6194896349734669, 0.5942459416272595, 0.5518338248878335, 0.6029722865623944, 0.5726373141867804, 0.5558954815244512]"
19,14,0.561216107093728,0.5694878241632867,0.033086868278234524,0.5030136159974005,0.6342985432652265,15,135,"{""colsample_bytree"": 0.933323876300548, ""gamma"": 0.03817712937301217, ""learning_rate"": 0.021398115723726376, ""max_depth"": 5, ""min_child_weight"": 1.1525079371388598, ""reg_alpha"": 0.0026908603799290502, ""reg_lambda"": 0.7049248775412721, ""subsample"": 0.7071131570201181}","[{""cv_seed"": 142, ""prescreen_score"": 0.6290095359234369, ""run"": 2, ""trial"": 147, ""tuning_values"": [0.5765828757269325, 0.8649502097130473]}]","[0.5030136159974005, 0.6054032064261481, 0.5935980410318159, 0.555984402535945, 0.535415310845822, 0.5806005020954356, 0.5556052061499593, 0.5786603220601007, 0.5337498050639401, 0.6342985432652265, 0.5905886875419232, 0.5417177266756062, 0.607870518762561, 0.5710759318327515, 0.5547355421646639]"
20,19,0.5611025590499784,0.569043017069737,0.031761832079034366,0.5039153711623702,0.625888683297341,15,41,"{""colsample_bytree"": 0.8908865960061034, ""gamma"": 0.047188512482268116, ""learning_rate"": 0.06550493242484125, ""max_depth"": 5, ""min_child_weight"": 1.3179470682267098, ""reg_alpha"": 0.05864955607596074, ""reg_lambda"": 0.5016229317137524, ""subsample"": 0.9887968260133708}","[{""cv_seed"": 242, ""prescreen_score"": 0.6304698036250689, ""run"": 3, ""trial"": 84, ""tuning_values"": [0.5770485220018352, 0.8729007766120278]}]","[0.5039153711623702, 0.6053521870643923, 0.5995560915660253, 0.5474231387209086, 0.5392948659779461, 0.5783234062630486, 0.5427331458501877, 0.5747628012942226, 0.5331529548404361, 0.625888683297341, 0.5848916671424937, 0.5539537758334897, 0.6064111593132986, 0.5763647811050424, 0.5636212266148518]"
21,16,0.5610644240381919,0.5688147664841748,0.031001369783931778,0.5068926590387881,0.62981412419245,15,48,"{""colsample_bytree"": 0.7511420657929693, ""gamma"": 0.05567593970664508, ""learning_rate"": 0.0461458067471161, ""max_depth"": 6, ""min_child_weight"": 6.052581498440417, ""reg_alpha"": 2.4903398302382005e-05, ""reg_lambda"": 3.204425849338781, ""subsample"": 0.8371871684248535}","[{""cv_seed"": 142, ""prescreen_score"": 0.628328908235952, ""run"": 2, ""trial"": 75, ""tuning_values"": [0.57402726984848, 0.8773006956456462]}]","[0.5068926590387881, 0.6031338109002081, 0.5845592132910015, 0.5551780989529563, 0.539220782178884, 0.5870761262006589, 0.5524781308484815, 0.5732605274929226, 0.5275074405078867, 0.62981412419245, 0.5904694604062813, 0.5571713440593286, 0.603824132485145, 0.5674917284505056, 0.554143918257123]"
22,8,0.5606543703382528,0.5693419470243782,0.03475030674450167,0.5145911502823336,0.6168537588706987,15,54,"{""colsample_bytree"": 0.998422058613216, ""gamma"": 0.01228106110667095, ""learning_rate"": 0.07168770400968955, ""max_depth"": 3, ""min_child_weight"": 5.91198948796241, ""reg_alpha"": 0.0012643989829359233, ""reg_lambda"": 1.7777906821810083, ""subsample"": 0.7260606652382022}","[{""cv_seed"": 42, ""prescreen_score"": 0.615761006996282, ""run"": 1, ""trial"": 121, ""tuning_values"": [0.5667232447676425, 0.8316439330506988]}]","[0.5145911502823336, 0.6166259874363466, 0.6156810583333763, 0.5497092816904878, 0.5370087460956683, 0.5843075710679001, 0.5341520960455856, 0.5757129661788482, 0.5429564775958932, 0.6153806637130538, 0.5875834698092021, 0.539455581313392, 0.6168537588706987, 0.5784213269414719, 0.5316890699914162]"
23,6,0.5596653612367701,0.5684779850453107,0.03525049523416218,0.5152080676312437,0.6189832460999946,15,51,"{""colsample_bytree"": 0.9941093202405209, ""gamma"": 0.07801917699294939, ""learning_rate"": 0.07777965936383568, ""max_depth"": 3, ""min_child_weight"": 3.348971706820385, ""reg_alpha"": 0.0007956985126096833, ""reg_lambda"": 1.296757047323006, ""subsample"": 0.7182418853287751}","[{""cv_seed"": 42, ""prescreen_score"": 0.6162861392090512, ""run"": 1, ""trial"": 141, ""tuning_values"": [0.5665386050393099, 0.8366959843747482]}]","[0.5152080676312437, 0.611813772021578, 0.611070040702491, 0.5501906127086271, 0.5444105321326093, 0.5869874149495016, 0.5335719491202999, 0.5720970874237756, 0.541708250690745, 0.6189832460999946, 0.587803062221461, 0.5325330209898659, 0.6189464344262289, 0.578537417973925, 0.5233088665873132]"
24,23,0.5589773868640049,0.5665612166699668,0.03033531922384801,0.5102346321411496,0.6132496162259401,15,35,"{""colsample_bytree"": 0.7566038526705666, ""gamma"": 0.23400426561582321, ""learning_rate"": 0.062205555416319676, ""max_depth"": 7, ""min_child_weight"": 3.651547514665336, ""reg_alpha"": 0.00019501372300676414, ""reg_lambda"": 0.7514649135012548, ""subsample"": 0.9394313773683519}","[{""cv_seed"": 242, ""prescreen_score"": 0.629736704072971, ""run"": 3, ""trial"": 107, ""tuning_values"": [0.5761352877885126, 0.8735526681614841]}]","[0.5102346321411496, 0.6000499076007816, 0.5811618194167862, 0.5649762874203136, 0.5290954690419981, 0.5851337958858407, 0.5360775908702514, 0.573474496359384, 0.5242881961444937, 0.6132496162259401, 0.5847918606022645, 0.56948166233846, 0.6085965301119741, 0.5726141627955839, 0.5451922230942811]"
