,precision,recall,f1-score,support
thin_cloud,1.0,1.0,1.0,6874.0
cloud_affected,1.0,1.0,1.0,6664.0
water,1.0,1.0,1.0,8820.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,22358.0
weighted avg,1.0,1.0,1.0,22358.0
