,precision,recall,f1-score,support
thin_cloud,0.4996373132163064,0.6752941176470588,0.5743350287667807,5100.0
cloud_affected,0.38195173137460653,0.14415841584158415,0.2093156986774008,5050.0
water,0.5461841926268535,0.6691666666666667,0.6014530746760542,6000.0
accuracy,0.5069349845201239,0.5069349845201239,0.5069349845201239,0.5069349845201239
macro avg,0.47592441240592215,0.49620640005176986,0.46170126737341194,16150.0
weighted avg,0.48013075520780474,0.5069349845201239,0.47027067325620936,16150.0
