,precision,recall,f1-score,support
thin_cloud,1.0,1.0,1.0,2827.0
cloud_affected,1.0,1.0,1.0,2610.0
water,1.0,1.0,1.0,4700.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,10137.0
weighted avg,1.0,1.0,1.0,10137.0
