number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
19,0.7778413210048133,2026-08-26 14:09:57.723410,2026-08-26 14:10:25.937824,0 days 00:00:28.214414,False,balanced_subsample,log_loss,12.0,1.0,10,15,400,0.7778413210048133,0.015088575669208331,"[0.770601529590483, 0.7841134674958422, 0.7545267623306696, 0.8001851142463664, 0.7797797313607052]",COMPLETE
20,0.8971134299747853,2026-08-26 14:10:25.938126,2026-08-26 14:10:54.103319,0 days 00:00:28.165193,False,,entropy,,0.5,3,5,700,0.8971134299747853,0.008230564116130629,"[0.8964822597096811, 0.8816535078408051, 0.9018735302739224, 0.9002840197926517, 0.9052738322568668]",COMPLETE
21,0.8971134299747853,2026-08-26 14:10:54.103632,2026-08-26 14:11:22.315497,0 days 00:00:28.211865,False,,entropy,,0.5,3,5,700,0.8971134299747853,0.008230564116130629,"[0.8964822597096811, 0.8816535078408051, 0.9018735302739224, 0.9002840197926517, 0.9052738322568668]",COMPLETE
22,0.8971134299747853,2026-08-26 14:11:22.315816,2026-08-26 14:11:50.466369,0 days 00:00:28.150553,False,,entropy,,0.5,3,5,700,0.8971134299747853,0.008230564116130629,"[0.8964822597096811, 0.8816535078408051, 0.9018735302739224, 0.9002840197926517, 0.9052738322568668]",COMPLETE
23,0.894673007160188,2026-08-26 14:11:50.466685,2026-08-26 14:12:22.219238,0 days 00:00:31.752553,False,,entropy,,0.5,4,2,800,0.894673007160188,0.008513354413978875,"[0.8953687884691258, 0.878794260948701, 0.8973405277319081, 0.8974426435603303, 0.9044188150908751]",COMPLETE
24,0.8885519996696223,2026-08-26 14:12:22.219726,2026-08-26 14:12:57.124316,0 days 00:00:34.904590,False,,entropy,,0.5,6,7,900,0.8885519996696223,0.006048834651556092,"[0.8916862952045683, 0.8780850410905449, 0.8910079275933489, 0.8862134373512841, 0.8957672971083653]",COMPLETE
25,0.8908660226458581,2026-08-26 14:12:57.124631,2026-08-26 14:13:25.008872,0 days 00:00:27.884241,False,,entropy,,0.5,3,14,700,0.8908660226458581,0.007195251253764235,"[0.890104187520638, 0.8780702974828903, 0.8961794997394502, 0.8909673842549007, 0.8990087442314115]",COMPLETE
26,0.8530518933225739,2026-08-26 14:13:25.009193,2026-08-26 14:13:45.551646,0 days 00:00:20.542453,True,,entropy,,0.5,10,5,900,0.8530518933225739,0.008457560238949086,"[0.8538780200991235, 0.8364958443766364, 0.8582576873031297, 0.8578738121054329, 0.8587541027285474]",COMPLETE
27,0.8725111299318847,2026-08-26 14:13:45.551964,2026-08-26 14:14:04.017182,0 days 00:00:18.465218,False,,entropy,12.0,0.5,5,7,500,0.8725111299318847,0.0056976275529249535,"[0.8741480753662881, 0.8638111740895043, 0.879784576842732, 0.8684675868513576, 0.8763442365095409]",COMPLETE
28,0.880921392295144,2026-08-26 14:14:04.017496,2026-08-26 14:14:35.051114,0 days 00:00:31.033618,False,,entropy,16.0,0.5,3,22,800,0.880921392295144,0.00684268584321027,"[0.8814906944359228, 0.8677838922221636, 0.8839175084940218, 0.8839179293175229, 0.8874969370060884]",COMPLETE
29,0.8679824068398586,2026-08-26 14:14:35.051430,2026-08-26 14:14:44.631727,0 days 00:00:09.580297,True,,entropy,32.0,0.7,7,4,300,0.8679824068398586,0.0052656119011585956,"[0.8687059174052635, 0.8580144061994014, 0.8727382600463195, 0.8684864998618496, 0.8719669506864592]",COMPLETE
30,0.7552079099686403,2026-08-26 14:14:44.632026,2026-08-26 14:15:04.999466,0 days 00:00:20.367440,False,,entropy,8.0,0.5,12,9,700,0.7552079099686403,0.00504189278260966,"[0.7614909402427323, 0.7461085085354974, 0.7553340941822233, 0.7557805518462969, 0.7573254550364518]",COMPLETE
31,0.8971134299747853,2026-08-26 14:15:04.999788,2026-08-26 14:15:33.130721,0 days 00:00:28.130933,False,,entropy,,0.5,3,4,700,0.8971134299747853,0.008230564116130629,"[0.8964822597096811, 0.8816535078408051, 0.9018735302739224, 0.9002840197926517, 0.9052738322568668]",COMPLETE
32,0.901184662791333,2026-08-26 14:15:33.131017,2026-08-26 14:15:57.585002,0 days 00:00:24.453985,False,,entropy,,0.5,2,4,600,0.901184662791333,0.006197018220321731,"[0.9002640358808809, 0.8901033329579019, 0.9078515204834035, 0.9016507222653867, 0.9060537023690921]",COMPLETE
33,0.8957375676125819,2026-08-26 14:15:57.585338,2026-08-26 14:16:30.274032,0 days 00:00:32.688694,False,,entropy,,0.7,2,2,600,0.8957375676125819,0.006404441773541099,"[0.9022642839921292, 0.8837391498137773, 0.8966078980635627, 0.8961434532006994, 0.8999330529927404]",COMPLETE
34,0.8709954731380822,2026-08-26 14:16:30.274342,2026-08-26 14:16:44.787163,0 days 00:00:14.512821,True,,entropy,32.0,0.5,5,13,600,0.8709954731380822,0.005713456270534928,"[0.8722247427022024, 0.8599945000726379, 0.8762812211961343, 0.8743969779582269, 0.8720799237612099]",COMPLETE
35,0.887834964143998,2026-08-26 14:16:44.787482,2026-08-26 14:16:54.619366,0 days 00:00:09.831884,False,,entropy,24.0,sqrt,2,8,600,0.887834964143998,0.009820929780744812,"[0.8974047889887767, 0.8693024694078543, 0.8945022896405518, 0.8892384369124252, 0.8887268357703824]",COMPLETE
36,0.8656449307687304,2026-08-26 14:16:54.619679,2026-08-26 14:16:59.907812,0 days 00:00:05.288133,True,balanced,entropy,16.0,log2,4,4,500,0.8656449307687304,0.009412667428384367,"[0.8720812529771669, 0.8470948659695162, 0.8720331161643596, 0.8688685955773133, 0.8681468231552961]",COMPLETE
37,0.8126006046471937,2026-08-26 14:16:59.908128,2026-08-26 14:17:49.014455,0 days 00:00:49.106327,False,,gini,,1.0,2,9,800,0.8126006046471937,0.007962182699201632,"[0.8114183024101645, 0.8019466651073298, 0.810810005884315, 0.8266950229565232, 0.8121330268776363]",COMPLETE
38,0.7610951683880268,2026-08-26 14:17:49.014779,2026-08-26 14:17:56.105640,0 days 00:00:07.090861,False,balanced,entropy,8.0,sqrt,5,17,600,0.7610951683880268,0.010202089851995373,"[0.7657119136511404, 0.7431778048357304, 0.7566181108487577, 0.7699862547021015, 0.7699817579024041]",COMPLETE
39,0.8690440000638343,2026-08-26 14:17:56.105949,2026-08-26 14:18:05.710539,0 days 00:00:09.604590,True,,entropy,24.0,0.5,6,6,400,0.8690440000638343,0.007180988779059776,"[0.8732116570422739, 0.855418110181558, 0.8762105709420651, 0.8708274688572574, 0.8695521932960171]",COMPLETE
40,0.8745046159936525,2026-08-26 14:18:05.710846,2026-08-26 14:18:34.589755,0 days 00:00:28.878909,False,,gini,48.0,0.7,2,22,700,0.8745046159936525,0.005610193902520172,"[0.8750558610377291, 0.8638818243435734, 0.8762668049853398, 0.8804753045138972, 0.8768432850877224]",COMPLETE
41,0.8942616052961083,2026-08-26 14:18:34.590068,2026-08-26 14:19:02.331757,0 days 00:00:27.741689,False,,entropy,,0.5,4,3,700,0.8942616052961083,0.008325693732436242,"[0.8953687884691258, 0.8787236106946318, 0.8985204687348579, 0.8952209239216037, 0.9034742346603221]",COMPLETE
42,0.898095845118951,2026-08-26 14:19:02.332073,2026-08-26 14:19:34.301422,0 days 00:00:31.969349,False,,entropy,,0.5,3,5,800,0.898095845118951,0.008479982387504841,"[0.896127649780603, 0.8825474044673275, 0.9034566803085623, 0.9017965195732224, 0.9065509714650405]",COMPLETE
43,0.8467215510157482,2026-08-26 14:19:34.301728,2026-08-26 14:20:02.471219,0 days 00:00:28.169491,False,,entropy,,0.5,18,5,800,0.8467215510157482,0.007107119219336102,"[0.8508488400463077, 0.8342689018955257, 0.8548308373690306, 0.8441213722308912, 0.8495378035369855]",COMPLETE
44,0.8989801628848918,2026-08-26 14:20:02.471539,2026-08-26 14:20:39.637957,0 days 00:00:37.166418,False,balanced,entropy,,0.5,1,11,900,0.8989801628848918,0.006942644784060332,"[0.8962493001467254, 0.8879412796337632, 0.9092195816148706, 0.9012974709950408, 0.9001931820340587]",COMPLETE
45,0.8978857519026923,2026-08-26 14:20:39.638284,2026-08-26 14:21:16.614608,0 days 00:00:36.976324,False,balanced,entropy,,0.5,1,12,900,0.8978857519026923,0.0068711130112243555,"[0.8955897217418908, 0.8856785847442502, 0.9051793513691072, 0.9003528905644878, 0.9026282110937252]",COMPLETE
46,0.8943132753948635,2026-08-26 14:21:16.614932,2026-08-26 14:21:57.053949,0 days 00:00:40.439017,False,balanced,log_loss,16.0,0.5,1,13,1000,0.8943132753948635,0.007405596617637112,"[0.8926535594026243, 0.8806706694769298, 0.9015702367649205, 0.8979412713150109, 0.8987306400148323]",COMPLETE
47,0.8237747565972802,2026-08-26 14:21:57.054278,2026-08-26 14:23:07.342215,0 days 00:01:10.287937,False,balanced,entropy,,1.0,1,11,900,0.8237747565972802,0.009524540554922316,"[0.8160756837246032, 0.8105320296354676, 0.8242514331444918, 0.8318508202330978, 0.8361638162487409]",COMPLETE
48,0.887870728958303,2026-08-26 14:23:07.342536,2026-08-26 14:23:22.255849,0 days 00:00:14.913313,False,balanced,log_loss,48.0,sqrt,2,10,900,0.887870728958303,0.00865483628174387,"[0.8942146582858067, 0.8714203159136001, 0.895352389183345, 0.8877255163083535, 0.8906407651004097]",COMPLETE
49,0.8577614062438308,2026-08-26 14:23:22.256146,2026-08-26 14:23:34.599799,0 days 00:00:12.343653,False,balanced,gini,32.0,log2,1,36,1000,0.8577614062438308,0.009416607110816122,"[0.8599784218108223, 0.8391990711575187, 0.8614159316082456, 0.8640660495710847, 0.8641475570714819]",COMPLETE
