model,n_sites,train_balanced_accuracy_mean,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,leave_out_site_balanced_accuracy_mean,leave_out_site_balanced_accuracy_std,leave_out_site_balanced_accuracy_min,leave_out_site_balanced_accuracy_max
decision_tree,6,0.9829637443544693,0.022263986980703834,0.9405562055446263,1.0,0.49677815466523406,0.022304218296404433,0.46573481308139303,0.5176236876062241,0.43604858981009625,0.10886574635652232,0.22325289089994974,0.5364409722222222
random_forest,6,1.0,0.0,1.0,1.0,0.5463152608053858,0.030894527275818522,0.5105461903564533,0.5917021276595745,0.4719523318353407,0.16412575200773205,0.17279788838612367,0.6654737103174603
xgboost,6,1.0,0.0,1.0,1.0,0.5492507285216999,0.027945852183065684,0.5170875574119945,0.589718938796953,0.5191413938710415,0.10034407090769878,0.39519607843137255,0.6872569444444444
