,precision,recall,f1-score,support
thin_cloud,0.5685005393743258,0.5547368421052632,0.5615343633457646,950.0
cloud_affected,0.4393939393939394,0.3663157894736842,0.399540757749713,950.0
water,0.5717505634861006,0.6617391304347826,0.6134623135832326,1150.0
accuracy,0.5363934426229509,0.5363934426229509,0.5363934426229509,0.5363934426229509
macro avg,0.526548347418122,0.5275972540045767,0.5248458115595701,3050.0
weighted avg,0.5295124271602846,0.5363934426229509,0.5306567297250561,3050.0
