,precision,recall,f1-score,support
thin_cloud,1.0,1.0,1.0,6125.0
cloud_affected,1.0,1.0,1.0,5897.0
water,1.0,1.0,1.0,8570.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,20592.0
weighted avg,1.0,1.0,1.0,20592.0
