,precision,recall,f1-score,support
thin_cloud,0.5721518987341773,0.47578947368421054,0.5195402298850574,950.0
cloud_affected,0.3300970873786408,0.32210526315789473,0.32605221097496007,950.0
water,0.5063765941485371,0.5869565217391305,0.5436971405557793,1150.0
accuracy,0.4698360655737705,0.4698360655737705,0.4698360655737705,0.4698360655737705
macro avg,0.4695418600871184,0.46161708619374525,0.46309652713859895,3050.0
weighted avg,0.47195725248458853,0.4698360655737705,0.4683818132643157,3050.0
