number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
19,0.7250948324636457,2026-08-27 05:38:45.487551,2026-08-27 05:38:46.182784,0 days 00:00:00.695233,6.091579582816418e-07,balanced,entropy,21,0.6,15,14,best,0.7250948324636457,0.010225626219480598,"[0.7074991083394179, 0.725749653459865, 0.7241589508964097, 0.728928654795994, 0.7391377948265418]",COMPLETE
20,0.730293864683566,2026-08-27 05:38:46.183104,2026-08-27 05:38:46.888043,0 days 00:00:00.704939,2.6870819059195422e-08,balanced,entropy,20,0.6,14,13,best,0.730293864683566,0.006322689957080529,"[0.7197870912302978, 0.7333480976988228, 0.7284880650538031, 0.7307973789484321, 0.7390486904864746]",COMPLETE
21,0.7390385953338579,2026-08-27 05:38:46.888358,2026-08-27 05:38:47.587254,0 days 00:00:00.698896,2.1617327577514438e-08,balanced,entropy,20,0.6,13,13,best,0.7390385953338579,0.006621255250476585,"[0.7353854765409515, 0.7476204750832159, 0.7328549903516978, 0.7328400785404942, 0.7464919561529303]",COMPLETE
22,0.7442726335081312,2026-08-27 05:38:47.587572,2026-08-27 05:38:48.304827,0 days 00:00:00.717255,1.0779905314585888e-08,balanced,entropy,19,0.6,11,14,best,0.7442726335081312,0.0059179257465413896,"[0.7330902594607845, 0.7502496609268077, 0.7458620116425424, 0.7444565576148067, 0.7477046778957148]",COMPLETE
23,0.7510549699667601,2026-08-27 05:38:48.305146,2026-08-27 05:38:49.060456,0 days 00:00:00.755310,3.440765696140843e-09,balanced,entropy,19,0.6,2,16,best,0.7510549699667601,0.003280116844668212,"[0.7513301006180609, 0.7567360675259168, 0.7468292904021504, 0.7491670766701084, 0.7512123146175641]",COMPLETE
24,0.7248374590556098,2026-08-27 05:38:49.060807,2026-08-27 05:38:49.502697,0 days 00:00:00.441890,1.2430508504579793e-09,balanced,entropy,14,0.4,2,21,best,0.7248374590556098,0.008990969677932935,"[0.7173945119451574, 0.7417954364468331, 0.7229640229562609, 0.7247922729235518, 0.7172410510062459]",COMPLETE
25,0.7427678724063157,2026-08-27 05:38:49.503008,2026-08-27 05:38:50.230762,0 days 00:00:00.727754,4.1190104086750976e-09,balanced,log_loss,26,0.6,7,33,best,0.7427678724063157,0.006515905129781352,"[0.7330163380741018, 0.7446383625142797, 0.7418318911358336, 0.7532570065445902, 0.7410957637627732]",COMPLETE
26,0.591808178415824,2026-08-27 05:38:50.231094,2026-08-27 05:38:50.268882,0 days 00:00:00.037788,4.507188496968598e-09,balanced,log_loss,7,0.6,6,35,random,0.591808178415824,0.005265632007496219,"[0.5850353778360424, 0.5980765021235044, 0.5860122347221851, 0.5948337302821066, 0.5950830471152816]",COMPLETE
27,0.7148661611607954,2026-08-27 05:38:50.269196,2026-08-27 05:38:50.947344,0 days 00:00:00.678148,4.164251617726668e-09,balanced,log_loss,28,0.6,20,53,best,0.7148661611607954,0.002772633305630274,"[0.7138231459345995, 0.7142390788564303, 0.7202540178603619, 0.71372019735831, 0.7122943657942749]",COMPLETE
28,0.7514478898879022,2026-08-27 05:38:50.947675,2026-08-27 05:38:51.675960,0 days 00:00:00.728285,4.423726734938565e-08,balanced,log_loss,19,0.6,6,9,best,0.7514478898879022,0.004149712647874561,"[0.7454586687235066, 0.7518497675359129, 0.7498706676889301, 0.7517199485318854, 0.7583403969592761]",COMPLETE
29,0.7373156679455187,2026-08-27 05:38:51.676315,2026-08-27 05:38:52.384742,0 days 00:00:00.708427,6.098192666002708e-08,balanced,log_loss,14,0.6,1,8,best,0.7373156679455187,0.011818992957269145,"[0.7175394634645187, 0.744077895145559, 0.7394963169575478, 0.7327779043858441, 0.7526867597741242]",COMPLETE
30,0.7236763259645718,2026-08-27 05:38:52.385081,2026-08-27 05:38:53.070352,0 days 00:00:00.685271,7.128865133257722e-08,balanced,log_loss,19,0.6,18,17,best,0.7236763259645718,0.007804949868540116,"[0.7267128460070222, 0.7344468239998568, 0.7164044088799996, 0.7131586865107592, 0.7276588644252211]",COMPLETE
31,0.7239017534023736,2026-08-27 05:38:53.070679,2026-08-27 05:38:53.744883,0 days 00:00:00.674204,4.570019350778928e-09,balanced,log_loss,14,0.6,9,30,best,0.7239017534023736,0.005013877998232287,"[0.716464907185903, 0.7288440957539196, 0.727564654558492, 0.7193261883025444, 0.7273089212110092]",COMPLETE
32,0.7514478898879022,2026-08-27 05:38:53.745224,2026-08-27 05:38:54.472472,0 days 00:00:00.727248,2.7727967953322756e-09,balanced,log_loss,19,0.6,6,7,best,0.7514478898879022,0.004149712647874561,"[0.7454586687235066, 0.7518497675359129, 0.7498706676889301, 0.7517199485318854, 0.7583403969592761]",COMPLETE
33,0.7394559478615632,2026-08-27 05:38:54.472813,2026-08-27 05:38:55.175170,0 days 00:00:00.702357,5.379937069098533e-08,balanced,log_loss,19,0.6,12,3,best,0.7394559478615632,0.011374118361616191,"[0.7336605293779795, 0.7368675422228699, 0.734501327856378, 0.7304238830655575, 0.7618264567850312]",COMPLETE
34,0.6486313265485868,2026-08-27 05:38:55.175497,2026-08-27 05:38:55.231548,0 days 00:00:00.056051,8.787190162389402e-09,balanced,log_loss,18,0.6,24,9,random,0.6486313265485868,0.008564382136798093,"[0.6472650741763389, 0.6423725207900537, 0.6605801292689565, 0.6371532682914606, 0.6557856402161243]",COMPLETE
35,0.6953168927210702,2026-08-27 05:38:55.231862,2026-08-27 05:38:55.879926,0 days 00:00:00.648064,1.3897945194840648e-09,balanced,log_loss,23,0.6,30,18,best,0.6953168927210702,0.011926683370830261,"[0.6784990463167052, 0.7037848923165968, 0.6937511601503438, 0.6879241554866627, 0.7126252093350427]",COMPLETE
36,0.7268662616968398,2026-08-27 05:38:55.880257,2026-08-27 05:38:56.133272,0 days 00:00:00.253015,1.7997258599885267e-07,balanced,log_loss,21,log2,4,10,best,0.7268662616968398,0.010673144454454811,"[0.7265470610450141, 0.7324377563061694, 0.7063560108005937, 0.7353209534006843, 0.7336695269317373]",COMPLETE
37,0.6046156063026092,2026-08-27 05:38:56.133576,2026-08-27 05:38:56.163189,0 days 00:00:00.029613,2.7163157026888063e-09,,log_loss,15,sqrt,17,17,random,0.6046156063026092,0.01052759025655785,"[0.6005300856572678, 0.6040444513149286, 0.6030023402597203, 0.5917057278977141, 0.623795426383415]",COMPLETE
38,0.6893826884126781,2026-08-27 05:38:56.163497,2026-08-27 05:38:56.771163,0 days 00:00:00.607666,3.0850535210385855e-08,balanced,log_loss,12,0.6,25,27,best,0.6893826884126781,0.008908847593433869,"[0.6842351745199394, 0.6972401318971512, 0.685773280696964, 0.6776839881649971, 0.7019808667843391]",COMPLETE
39,0.6995746207572164,2026-08-27 05:38:56.771465,2026-08-27 05:38:57.006809,0 days 00:00:00.235344,1.1723384896752559e-08,,log_loss,17,log2,10,2,best,0.6995746207572164,0.009049305524153943,"[0.6958727732534383, 0.7175647071122023, 0.6962438056220862, 0.6947944336428676, 0.6933973841554876]",COMPLETE
40,0.6656831568443569,2026-08-27 05:38:57.007112,2026-08-27 05:38:57.068832,0 days 00:00:00.061720,2.5122587085393225e-07,balanced,entropy,18,0.6,5,41,random,0.6656831568443569,0.009238206494417539,"[0.6620270650435282, 0.663341902154529, 0.6776306118739273, 0.6515853727415196, 0.6738308324082798]",COMPLETE
41,0.7322175624052052,2026-08-27 05:38:57.069144,2026-08-27 05:38:57.772878,0 days 00:00:00.703734,7.820379384820639e-09,balanced,log_loss,23,0.6,5,47,best,0.7322175624052052,0.006787955034642885,"[0.7353578259814891, 0.7376537507394628, 0.7233337811239471, 0.7248879299127369, 0.7398545242683897]",COMPLETE
42,0.7415988591453317,2026-08-27 05:38:57.773213,2026-08-27 05:38:58.501188,0 days 00:00:00.727975,2.8967221876096188e-09,balanced,log_loss,30,0.6,11,8,best,0.7415988591453317,0.0072494212457462825,"[0.729244525688368, 0.7493376458626883, 0.7462859615636224, 0.7453234455025592, 0.737802717109421]",COMPLETE
43,0.7558675242866653,2026-08-27 05:38:58.501536,2026-08-27 05:38:59.699183,0 days 00:00:01.197647,2.0228615949949153e-09,balanced,log_loss,19,,7,18,best,0.7558675242866653,0.003774949333767051,"[0.7488907150384628, 0.756116990711796, 0.7565181867454638, 0.7575592524572317, 0.760252476480372]",COMPLETE
