number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
19,0.7103385148869126,2026-08-27 05:51:57.831456,2026-08-27 05:53:01.790926,0 days 00:01:03.959470,False,balanced_subsample,log_loss,12.0,1.0,10,15,400,0.7103385148869126,0.0078107972918873515,"[0.6969958565868053, 0.7180481896296679, 0.7183799404186009, 0.709212829142512, 0.7090557586569771]",COMPLETE
20,0.8741203892114644,2026-08-27 05:53:01.791242,2026-08-27 05:54:09.440376,0 days 00:01:07.649134,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
21,0.8741203892114644,2026-08-27 05:54:09.440692,2026-08-27 05:55:16.861918,0 days 00:01:07.421226,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
22,0.8741203892114644,2026-08-27 05:55:16.862229,2026-08-27 05:56:24.348320,0 days 00:01:07.486091,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
23,0.8739344535778043,2026-08-27 05:56:24.348646,2026-08-27 05:57:41.839781,0 days 00:01:17.491135,False,,entropy,,0.5,3,3,800,0.8739344535778043,0.004792071066622867,"[0.8709810809199974, 0.8831786734431525, 0.874065268669891, 0.8707771417212049, 0.8706701031347759]",COMPLETE
24,0.8741203892114644,2026-08-27 05:57:41.840097,2026-08-27 05:58:49.094155,0 days 00:01:07.254058,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
25,0.8620763178415807,2026-08-27 05:58:49.094479,2026-08-27 06:00:12.524340,0 days 00:01:23.429861,False,,entropy,,0.5,6,14,900,0.8620763178415807,0.005938149868433482,"[0.8574139825025989, 0.8727935487230115, 0.8638437674370126, 0.8564340631081526, 0.8598962274371281]",COMPLETE
26,0.8487951694756048,2026-08-27 06:00:12.524662,2026-08-27 06:00:52.594280,0 days 00:00:40.069618,True,,entropy,,0.5,5,2,700,0.8487951694756048,0.007305508328648345,"[0.840063900884207, 0.8612565303794915, 0.8520452180860468, 0.8457565928045105, 0.8448536052237686]",COMPLETE
27,0.8011903112506322,2026-08-27 06:00:52.594591,2026-08-27 06:01:55.930529,0 days 00:01:03.335938,False,,entropy,12.0,0.5,11,7,800,0.8011903112506322,0.009222177085033317,"[0.7927870693003581, 0.818153539445167, 0.7942894156444252, 0.8033506249452929, 0.7973709069179179]",COMPLETE
28,0.8602540912949689,2026-08-27 06:01:55.930845,2026-08-27 06:03:18.716832,0 days 00:01:22.785987,False,,entropy,16.0,0.5,3,5,900,0.8602540912949689,0.006074070407141039,"[0.8523580618292449, 0.8711212805039743, 0.8600677595868144, 0.8591027382951483, 0.858620616259663]",COMPLETE
29,0.8436406708617767,2026-08-27 06:03:18.717168,2026-08-27 06:04:11.473824,0 days 00:00:52.756656,True,,entropy,32.0,0.7,7,4,700,0.8436406708617767,0.0054923194128125305,"[0.8358934654296029, 0.853089784536325, 0.8435977016808427, 0.8430804926822457, 0.8425419099798672]",COMPLETE
30,0.6935184299304724,2026-08-27 06:04:11.474132,2026-08-27 06:05:01.081631,0 days 00:00:49.607499,False,,entropy,8.0,0.5,2,9,800,0.6935184299304724,0.01213273130408838,"[0.6800479862059334, 0.713617422919962, 0.6847015924628606, 0.7005481677510222, 0.6886769803125837]",COMPLETE
31,0.8707896941848527,2026-08-27 06:05:01.081942,2026-08-27 06:06:07.737224,0 days 00:01:06.655282,False,,entropy,,0.5,4,5,700,0.8707896941848527,0.004875401393494559,"[0.8668932702127782, 0.8798872289852989, 0.8717184699004824, 0.8685153379326837, 0.8669341638930209]",COMPLETE
32,0.8717973003888855,2026-08-27 06:06:07.737536,2026-08-27 06:07:05.452962,0 days 00:00:57.715426,False,,entropy,,0.5,3,8,600,0.8717973003888855,0.004911286441786061,"[0.8668932702127782, 0.8802112229896805, 0.8743300145188245, 0.8680381356018644, 0.8695138586212798]",COMPLETE
33,0.863038958285616,2026-08-27 06:07:05.453282,2026-08-27 06:08:34.287218,0 days 00:01:28.833936,False,,entropy,,0.7,5,2,700,0.863038958285616,0.004956764232180978,"[0.861788161895694, 0.8711497248465273, 0.8641584047413264, 0.8557018758346714, 0.8623966241098614]",COMPLETE
34,0.8515645849014897,2026-08-27 06:08:34.287529,2026-08-27 06:09:09.847859,0 days 00:00:35.560330,True,,entropy,32.0,0.5,2,13,600,0.8515645849014897,0.007807374993232818,"[0.842257326718833, 0.8656940819165314, 0.8494295641085245, 0.8479473338182615, 0.8524946179452974]",COMPLETE
35,0.8380073124924212,2026-08-27 06:09:09.848161,2026-08-27 06:09:39.053614,0 days 00:00:29.205453,False,,entropy,24.0,sqrt,2,22,800,0.8380073124924212,0.0043993206437157656,"[0.8320082133678186, 0.8454506905307463, 0.8392260425002777, 0.8362599158505093, 0.8370917002127548]",COMPLETE
36,0.8119513430941983,2026-08-27 06:09:39.053931,2026-08-27 06:09:54.303083,0 days 00:00:15.249152,True,,entropy,16.0,log2,6,5,700,0.8119513430941983,0.006734455915835858,"[0.8010891295980054, 0.8215642208864243, 0.8151525352506178, 0.8124274613373942, 0.8095233683985499]",COMPLETE
37,0.7821494914330354,2026-08-27 06:09:54.303404,2026-08-27 06:11:43.661863,0 days 00:01:49.358459,False,,entropy,,1.0,4,4,600,0.7821494914330354,0.008691447289382447,"[0.7785681754061512, 0.7979852547391205, 0.7719979714970737, 0.7789951075020979, 0.7832009480207335]",COMPLETE
38,0.6824783987581319,2026-08-27 06:11:43.662170,2026-08-27 06:12:03.150505,0 days 00:00:19.488335,False,balanced,entropy,8.0,sqrt,2,8,800,0.6824783987581319,0.004637461099090555,"[0.6757158759712576, 0.6862251443306194, 0.6886832772544768, 0.6794390800125344, 0.6823286162217714]",COMPLETE
39,0.8393878240474331,2026-08-27 06:12:03.150826,2026-08-27 06:12:53.429419,0 days 00:00:50.278593,True,,entropy,24.0,0.5,7,6,900,0.8393878240474331,0.0069608705933190025,"[0.8293462980983782, 0.8506296341292287, 0.841558177221144, 0.836174920869622, 0.8392300899187926]",COMPLETE
40,0.8670273595432058,2026-08-27 06:12:53.429734,2026-08-27 06:14:10.881341,0 days 00:01:17.451607,False,,entropy,48.0,0.7,3,10,600,0.8670273595432058,0.0038354988487533494,"[0.8669820730143214, 0.8743043641521636, 0.8660631047054229, 0.8640121078919404, 0.8637751479521799]",COMPLETE
41,0.8739344535778043,2026-08-27 06:14:10.881653,2026-08-27 06:15:27.625039,0 days 00:01:16.743386,False,,entropy,,0.5,3,3,800,0.8739344535778043,0.004792071066622867,"[0.8709810809199974, 0.8831786734431525, 0.874065268669891, 0.8707771417212049, 0.8706701031347759]",COMPLETE
42,0.8714314277445252,2026-08-27 06:15:27.625351,2026-08-27 06:16:43.637433,0 days 00:01:16.012082,False,,entropy,,0.5,4,4,800,0.8714314277445252,0.0052221737709624025,"[0.8674271108676844, 0.880374568750428, 0.8743864132450526, 0.867960503615581, 0.8670085422438806]",COMPLETE
43,0.8228549213344142,2026-08-27 06:16:43.637753,2026-08-27 06:17:43.381898,0 days 00:00:59.744145,False,,entropy,,0.5,18,2,700,0.8228549213344142,0.009335420399732888,"[0.81060992543686, 0.8386310228460191, 0.8262924818958712, 0.8187275135944443, 0.8200136628988766]",COMPLETE
44,0.8701216592278935,2026-08-27 06:17:43.382216,2026-08-27 06:18:36.896582,0 days 00:00:53.514366,False,balanced,gini,,0.5,1,4,700,0.8701216592278935,0.005391795572363398,"[0.8685466773383403, 0.8787545879653603, 0.8736411494892108, 0.8647295691762137, 0.8649363121703423]",COMPLETE
45,0.8664849326709974,2026-08-27 06:18:36.896892,2026-08-27 06:19:51.903543,0 days 00:01:15.006651,False,,entropy,,0.5,5,9,800,0.8664849326709974,0.005415498931515631,"[0.8623108317353404, 0.8766499649322775, 0.8672430423313076, 0.8619839938453601, 0.8642368305107007]",COMPLETE
46,0.8316690324275005,2026-08-27 06:19:51.903868,2026-08-27 06:21:11.887532,0 days 00:01:19.983664,False,,entropy,16.0,0.5,2,40,900,0.8316690324275005,0.010085903583122278,"[0.8185037686533981, 0.8495576677361211, 0.8300455450385019, 0.8281367357152253, 0.8321014449942554]",COMPLETE
47,0.7451564532818382,2026-08-27 06:21:11.887839,2026-08-27 06:22:50.043869,0 days 00:01:38.156030,False,balanced,gini,,1.0,3,37,700,0.7451564532818382,0.0053366524419144155,"[0.7429322656816222, 0.7505460043717268, 0.736809786027251, 0.7441893519135401, 0.7513048584150511]",COMPLETE
48,0.8311333645825358,2026-08-27 06:22:50.044180,2026-08-27 06:23:12.130010,0 days 00:00:22.085830,False,,entropy,48.0,sqrt,1,28,600,0.8311333645825358,0.005469511949772426,"[0.8218813291588415, 0.8389093097437144, 0.8329415265779215, 0.8306609493816777, 0.8312737080505245]",COMPLETE
49,0.8446047183774885,2026-08-27 06:23:12.130321,2026-08-27 06:23:48.515709,0 days 00:00:36.385388,False,,entropy,32.0,log2,5,6,1000,0.8446047183774885,0.003745605584650823,"[0.8393644192245654, 0.8510135950826349, 0.844269380868916, 0.8449476292685021, 0.8434285674428242]",COMPLETE
50,0.8272376199596566,2026-08-27 06:23:48.516017,2026-08-27 06:24:21.975020,0 days 00:00:33.459003,True,,gini,,0.5,8,11,800,0.8272376199596566,0.005798043398834163,"[0.8177316477685749, 0.8359860649360312, 0.8278197004992438, 0.827970917053296, 0.826679769541137]",COMPLETE
51,0.8739344535778043,2026-08-27 06:24:21.975344,2026-08-27 06:25:38.807530,0 days 00:01:16.832186,False,,entropy,,0.5,3,3,800,0.8739344535778043,0.004792071066622867,"[0.8709810809199974, 0.8831786734431525, 0.874065268669891, 0.8707771417212049, 0.8706701031347759]",COMPLETE
52,0.8741203892114644,2026-08-27 06:25:38.807839,2026-08-27 06:26:46.274101,0 days 00:01:07.466262,False,,entropy,,0.5,3,3,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
53,0.8707896941848527,2026-08-27 06:26:46.274408,2026-08-27 06:27:53.139190,0 days 00:01:06.864782,False,,entropy,,0.5,4,7,700,0.8707896941848527,0.004875401393494559,"[0.8668932702127782, 0.8798872289852989, 0.8717184699004824, 0.8685153379326837, 0.8669341638930209]",COMPLETE
54,0.8775006291612234,2026-08-27 06:27:53.139509,2026-08-27 06:28:51.755837,0 days 00:00:58.616328,False,,entropy,,0.5,2,2,600,0.8775006291612234,0.005722606777821467,"[0.8746503082770992, 0.8876450608327108, 0.8798260683228025, 0.8719725991193882, 0.8734091092541165]",COMPLETE
55,0.8159790040062418,2026-08-27 06:28:51.756161,2026-08-27 06:29:40.992507,0 days 00:00:49.236346,False,,entropy,12.0,0.5,2,5,600,0.8159790040062418,0.009324579746452533,"[0.8091497991123352, 0.8339789373020334, 0.80850993589875, 0.814984087476755, 0.8132722602413353]",COMPLETE
56,0.8787210602058131,2026-08-27 06:29:40.992826,2026-08-27 06:30:31.398429,0 days 00:00:50.405603,False,balanced,entropy,,0.5,1,2,500,0.8787210602058131,0.004743156400083871,"[0.8749800888256732, 0.887292230975811, 0.8801798565711381, 0.8743267608834007, 0.8768263637730431]",COMPLETE
57,0.8762922182783169,2026-08-27 06:30:31.398732,2026-08-27 06:31:21.320330,0 days 00:00:49.921598,False,balanced,entropy,,0.5,1,8,500,0.8762922182783169,0.004408913994693021,"[0.8715755962017345, 0.8827239662354271, 0.8799624969469817, 0.8719252294570063, 0.8752738025504353]",COMPLETE
58,0.860881309353234,2026-08-27 06:31:21.320647,2026-08-27 06:31:49.253021,0 days 00:00:27.932374,False,balanced,entropy,24.0,0.3,1,12,500,0.860881309353234,0.005362875228905151,"[0.8542930749421379, 0.8705400590709159, 0.8606920691125056, 0.8606488088093038, 0.8582325348313065]",COMPLETE
59,0.8672007539106932,2026-08-27 06:31:49.253340,2026-08-27 06:32:27.785194,0 days 00:00:38.531854,False,balanced,gini,,0.5,1,8,500,0.8672007539106932,0.004993926166453366,"[0.8644057854140609, 0.8749669281711062, 0.8711897885481014, 0.8622127804450304, 0.8632284869751675]",COMPLETE
60,0.780009821169016,2026-08-27 06:32:27.785501,2026-08-27 06:34:03.437553,0 days 00:01:35.652052,False,balanced,entropy,,1.0,1,10,500,0.780009821169016,0.009269140291953304,"[0.7725756027941703, 0.7805298044696984, 0.7793987252651483, 0.7706317469164204, 0.7969132263996421]",COMPLETE
61,0.8754903562886509,2026-08-27 06:34:03.437872,2026-08-27 06:34:43.163848,0 days 00:00:39.725976,False,balanced,entropy,,0.5,2,6,400,0.8754903562886509,0.00441100307058687,"[0.8705647928138682, 0.8827897197286445, 0.8780226315167127, 0.8722324418260511, 0.8738421955579777]",COMPLETE
62,0.8749341931313428,2026-08-27 06:34:43.164165,2026-08-27 06:35:13.192172,0 days 00:00:30.028007,False,balanced,entropy,,0.5,2,6,300,0.8749341931313428,0.004389692336200777,"[0.870378397744795, 0.8829449837012114, 0.875912776124669, 0.8721548098397675, 0.8732799982462712]",COMPLETE
63,0.8758918410598481,2026-08-27 06:35:13.192487,2026-08-27 06:35:43.004540,0 days 00:00:29.812053,False,balanced,entropy,,0.5,2,7,300,0.8758918410598481,0.0053548670489640205,"[0.8716148090864216, 0.8846598592366955, 0.8794991648816142, 0.8707477516834548, 0.8729376204110543]",COMPLETE
64,0.8758918410598481,2026-08-27 06:35:43.004851,2026-08-27 06:36:12.845725,0 days 00:00:29.840874,False,balanced,entropy,,0.5,2,7,300,0.8758918410598481,0.0053548670489640205,"[0.8716148090864216, 0.8846598592366955, 0.8794991648816142, 0.8707477516834548, 0.8729376204110543]",COMPLETE
65,0.6817907172475696,2026-08-27 06:36:12.846041,2026-08-27 06:36:32.037298,0 days 00:00:19.191257,False,balanced,entropy,8.0,0.5,2,7,300,0.6817907172475696,0.00788834562536212,"[0.6753442711261669, 0.6966079738067724, 0.6757290294104447, 0.6783326650137531, 0.6829396468807108]",COMPLETE
66,0.8533804907790993,2026-08-27 06:36:32.037601,2026-08-27 06:36:43.709914,0 days 00:00:11.672313,False,balanced,entropy,,log2,2,9,300,0.8533804907790993,0.0035328590571928045,"[0.8501053767234006, 0.8579861453906563, 0.8573336731721398, 0.8514021517150283, 0.8500751068942715]",COMPLETE
67,0.869521674800174,2026-08-27 06:36:43.710225,2026-08-27 06:37:37.824981,0 days 00:00:54.114756,False,balanced,log_loss,48.0,0.7,1,12,400,0.869521674800174,0.005513272868033033,"[0.8640448737689804, 0.8801469709573603, 0.8681754199497996, 0.8677749938815079, 0.867466115443221]",COMPLETE
68,0.8666529750829174,2026-08-27 06:37:37.825330,2026-08-27 06:38:07.524124,0 days 00:00:29.698794,False,balanced,entropy,,0.5,1,17,300,0.8666529750829174,0.005418503984652186,"[0.8602391466643419, 0.8758692738808634, 0.8690145838690443, 0.8631189597205307, 0.8650229112798066]",COMPLETE
69,0.8756190335696541,2026-08-27 06:38:07.524440,2026-08-27 06:38:47.066651,0 days 00:00:39.542211,False,balanced,entropy,,0.5,2,7,400,0.8756190335696541,0.004977950995647963,"[0.8724518896813714, 0.8841052645174519, 0.8782129990147866, 0.8702811659826634, 0.873043848651997]",COMPLETE
70,0.8027866161094496,2026-08-27 06:38:47.066971,2026-08-27 06:39:05.652207,0 days 00:00:18.585236,False,balanced,entropy,12.0,0.3,4,14,400,0.8027866161094496,0.007555366254494238,"[0.7922708439030933, 0.8149924422431987, 0.8045101108407334, 0.7981594352858775, 0.8040002482743448]",COMPLETE
71,0.8754903562886509,2026-08-27 06:39:05.652529,2026-08-27 06:39:45.373196,0 days 00:00:39.720667,False,balanced,entropy,,0.5,2,6,400,0.8754903562886509,0.00441100307058687,"[0.8705647928138682, 0.8827897197286445, 0.8780226315167127, 0.8722324418260511, 0.8738421955579777]",COMPLETE
72,0.8734293482624231,2026-08-27 06:39:45.373505,2026-08-27 06:40:24.872537,0 days 00:00:39.499032,False,balanced,entropy,,0.5,2,10,400,0.8734293482624231,0.005199580521172584,"[0.8668889851294828, 0.8819564358385801, 0.8762469971821911, 0.871351559791516, 0.8707027633703454]",COMPLETE
73,0.8765882989035614,2026-08-27 06:40:24.872857,2026-08-27 06:41:04.896060,0 days 00:00:40.023203,False,balanced,entropy,,0.5,1,8,400,0.8765882989035614,0.0048708352058410434,"[0.870087830080908, 0.8841052645174519, 0.8794852946161624, 0.8732506082085211, 0.8760124970947641]",COMPLETE
74,0.8765882989035614,2026-08-27 06:41:04.896381,2026-08-27 06:41:44.883272,0 days 00:00:39.986891,False,balanced,entropy,,0.5,1,8,400,0.8765882989035614,0.0048708352058410434,"[0.870087830080908, 0.8841052645174519, 0.8794852946161624, 0.8732506082085211, 0.8760124970947641]",COMPLETE
75,0.8615076698957085,2026-08-27 06:41:44.883608,2026-08-27 06:42:15.728936,0 days 00:00:30.845328,True,balanced,entropy,,0.5,1,8,500,0.8615076698957085,0.005551643346373046,"[0.8542065673845829, 0.8712441312185337, 0.862330435661487, 0.8597940177988251, 0.8599631974151137]",COMPLETE
76,0.8107237527443948,2026-08-27 06:42:15.729250,2026-08-27 06:42:25.850998,0 days 00:00:10.121748,False,balanced,entropy,16.0,sqrt,13,11,300,0.8107237527443948,0.006131380545616342,"[0.8000702807476253, 0.8191418182287847, 0.8125973151643588, 0.8110334054692975, 0.8107759441119073]",COMPLETE
77,0.8753961192143589,2026-08-27 06:42:25.851305,2026-08-27 06:43:06.074144,0 days 00:00:40.222839,False,balanced,log_loss,32.0,0.5,1,9,400,0.8753961192143589,0.003712306550189878,"[0.8725886948335887, 0.8816739499628738, 0.8770396306004149, 0.8745473907053762, 0.8711309299695404]",COMPLETE
78,0.8709132324248211,2026-08-27 06:43:06.074458,2026-08-27 06:43:55.393192,0 days 00:00:49.318734,False,balanced,entropy,,0.5,1,13,500,0.8709132324248211,0.0056389308695538355,"[0.865040307363576, 0.8808568296491708, 0.8725568400366362, 0.8662404122835315, 0.8698717727911905]",COMPLETE
79,0.8713305004121908,2026-08-27 06:43:55.393519,2026-08-27 06:44:24.642225,0 days 00:00:29.248706,False,balanced,entropy,,0.5,4,2,300,0.8713305004121908,0.006732046539802378,"[0.863376523205845, 0.8816554911425243, 0.8765861213819844, 0.8676328063913017, 0.8674015599392985]",COMPLETE
80,0.8725686509500173,2026-08-27 06:44:24.642549,2026-08-27 06:45:03.921558,0 days 00:00:39.279009,False,balanced,entropy,24.0,0.5,3,7,400,0.8725686509500173,0.006123848571666355,"[0.8665672863690895, 0.8826174983966254, 0.876699712617531, 0.8685104347904127, 0.8684483225764278]",COMPLETE
81,0.8770204699471389,2026-08-27 06:45:03.921874,2026-08-27 06:45:43.823869,0 days 00:00:39.901995,False,balanced,entropy,,0.5,2,4,400,0.8770204699471389,0.006019765502082015,"[0.8703991518091326, 0.8864589470857465, 0.8815959437912969, 0.8733429661840121, 0.8733053408655067]",COMPLETE
82,0.8770204699471389,2026-08-27 06:45:43.824194,2026-08-27 06:46:23.725522,0 days 00:00:39.901328,False,balanced,entropy,,0.5,2,4,400,0.8770204699471389,0.006019765502082015,"[0.8703991518091326, 0.8864589470857465, 0.8815959437912969, 0.8733429661840121, 0.8733053408655067]",COMPLETE
83,0.8784844402639334,2026-08-27 06:46:23.725846,2026-08-27 06:46:54.105592,0 days 00:00:30.379746,False,balanced,entropy,,0.5,1,4,300,0.8784844402639334,0.005458520409507922,"[0.8728570069722408, 0.8878122032983438, 0.881349177566995, 0.8746797553486454, 0.8757240581334419]",COMPLETE
84,0.878475742893491,2026-08-27 06:46:54.105911,2026-08-27 06:47:44.792812,0 days 00:00:50.686901,False,balanced,entropy,,0.5,1,4,500,0.878475742893491,0.004638218982685092,"[0.8744454543876764, 0.8855649885688508, 0.8823035822286333, 0.8738707918126369, 0.8761938974696571]",COMPLETE
