,precision,recall,f1-score,support
thin_cloud,0.4909670563230606,0.506578947368421,0.49865083648138153,1824.0
cloud_affected,0.3205907906168549,0.22056186491332935,0.2613314447592068,1673.0
water,0.5145700071073206,0.6161702127659574,0.5608055770720372,2350.0
accuracy,0.46878741234821275,0.46878741234821275,0.46878741234821275,0.46878741234821275
macro avg,0.44204261801574535,0.4477703416825693,0.44026261943754186,5847.0
weighted avg,0.4517037489545859,0.46878741234821275,0.45572767897100736,5847.0
