,precision,recall,f1-score,support
thin_cloud,1.0,1.0,1.0,5439.0
cloud_affected,1.0,1.0,1.0,5314.0
water,1.0,1.0,1.0,7620.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,18373.0
weighted avg,1.0,1.0,1.0,18373.0
