number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
18,0.6535797724097153,2026-08-25 14:38:19.626126,2026-08-25 14:38:19.698164,0 days 00:00:00.072038,1.4641752838244698e-06,balanced,log_loss,27,0.4,10,25,random,0.6535797724097153,0.0049992670130662754,"[0.6588036265393434, 0.6467639228453065, 0.6586051855921862, 0.655030865590746, 0.6486952614809945]",COMPLETE
19,0.6843237172274758,2026-08-25 14:38:19.698599,2026-08-25 14:38:20.252159,0 days 00:00:00.553560,0.00014968727235882198,balanced,log_loss,28,0.6,35,8,best,0.6843237172274758,0.005865330569104965,"[0.6825545323665722, 0.6941534153729095, 0.6784051198688773, 0.6874321034781338, 0.679073415050886]",COMPLETE
20,0.673802391286566,2026-08-25 14:38:20.252514,2026-08-25 14:38:20.739727,0 days 00:00:00.487213,2.3612852478582268e-08,balanced,gini,21,0.6,43,32,best,0.673802391286566,0.003304679633648546,"[0.6690394061411697, 0.6733925586571544, 0.6744135047075178, 0.6793214925433673, 0.6728449943836209]",COMPLETE
21,0.681484172233215,2026-08-25 14:38:20.740038,2026-08-25 14:38:21.272901,0 days 00:00:00.532863,0.00016034016651872627,balanced,log_loss,27,0.6,36,8,best,0.681484172233215,0.010562590245744168,"[0.6724794511628648, 0.6942755254887243, 0.6683550717646586, 0.6931240399536298, 0.6791867727961973]",COMPLETE
22,0.6962399878126376,2026-08-25 14:38:21.273207,2026-08-25 14:38:21.838042,0 days 00:00:00.564835,0.00014696568329408322,balanced,log_loss,28,0.6,30,14,best,0.6962399878126376,0.0023847149302838877,"[0.6976523644305613, 0.6962400405603386, 0.691670164734437, 0.697284050080729, 0.6983533192571222]",COMPLETE
23,0.7297824118127202,2026-08-25 14:38:21.838378,2026-08-25 14:38:22.427875,0 days 00:00:00.589497,1.2661739591796867e-06,balanced,log_loss,30,0.6,15,18,best,0.7297824118127202,0.004946921296713641,"[0.726999332200541, 0.7323199672619225, 0.733609460100586, 0.7345914783718253, 0.7213918211287259]",COMPLETE
24,0.7219233514589573,2026-08-25 14:38:22.428242,2026-08-25 14:38:23.026945,0 days 00:00:00.598703,0.000413735710547358,balanced,log_loss,26,0.6,13,20,best,0.7219233514589573,0.007582657335758685,"[0.7157966101727737, 0.7330281811214374, 0.7276249213997592, 0.712276910519535, 0.720890134081281]",COMPLETE
25,0.7274441926775052,2026-08-25 14:38:23.027259,2026-08-25 14:38:23.624547,0 days 00:00:00.597288,0.0005982543500126752,balanced,log_loss,20,0.6,15,18,best,0.7274441926775052,0.006195833162181772,"[0.723483941271217, 0.7290086976116807, 0.7350106729420015, 0.73204181291791, 0.7176758386447166]",COMPLETE
26,0.5882047470656577,2026-08-25 14:38:23.624877,2026-08-25 14:38:23.661703,0 days 00:00:00.036826,0.0009590234985155447,balanced,log_loss,20,log2,14,41,random,0.5882047470656577,0.005437353830531143,"[0.583864606631091, 0.5952138235795202, 0.589560597481413, 0.5802795572163649, 0.5921051504198995]",COMPLETE
27,0.7108815308826565,2026-08-25 14:38:23.662245,2026-08-25 14:38:24.075723,0 days 00:00:00.413478,0.0008096895493012256,balanced,log_loss,25,0.4,5,23,best,0.7108815308826565,0.0065564534584641515,"[0.7194408937263743, 0.711922121504014, 0.7053269346395061, 0.7159846466724064, 0.7017330578709816]",COMPLETE
28,0.7216771739168819,2026-08-25 14:38:24.076041,2026-08-25 14:38:24.973018,0 days 00:00:00.896977,4.8659774449257785e-05,balanced,gini,19,,15,36,best,0.7216771739168819,0.003743865670314664,"[0.7221614572704933, 0.7253644556639207, 0.7243942868941712, 0.7217784256591555, 0.7146872440966687]",COMPLETE
29,0.7341444606071786,2026-08-25 14:38:24.973357,2026-08-25 14:38:25.583117,0 days 00:00:00.609760,1.5809001036767288e-08,balanced,log_loss,23,0.6,9,11,best,0.7341444606071786,0.004252586679224766,"[0.7359948295953073, 0.7408611863707812, 0.7294454878281463, 0.7346926030744164, 0.7297281961672416]",COMPLETE
30,0.7274599578536965,2026-08-25 14:38:25.583428,2026-08-25 14:38:26.183216,0 days 00:00:00.599788,2.945435662302505e-08,balanced,log_loss,14,0.6,7,2,best,0.7274599578536965,0.006141765355590938,"[0.7377102338578659, 0.7305087129770959, 0.7261067068832654, 0.7222154984448812, 0.7207586371053741]",COMPLETE
31,0.7274599578536965,2026-08-25 14:38:26.183519,2026-08-25 14:38:26.784384,0 days 00:00:00.600865,3.705435814399429e-08,balanced,log_loss,14,0.6,7,2,best,0.7274599578536965,0.006141765355590938,"[0.7377102338578659, 0.7305087129770959, 0.7261067068832654, 0.7222154984448812, 0.7207586371053741]",COMPLETE
32,0.7274599578536965,2026-08-25 14:38:26.784728,2026-08-25 14:38:27.384274,0 days 00:00:00.599546,3.232718555549257e-08,balanced,log_loss,14,0.6,7,2,best,0.7274599578536965,0.006141765355590938,"[0.7377102338578659, 0.7305087129770959, 0.7261067068832654, 0.7222154984448812, 0.7207586371053741]",COMPLETE
33,0.6316514192524849,2026-08-25 14:38:27.384597,2026-08-25 14:38:27.856034,0 days 00:00:00.471437,3.0318367769637515e-09,balanced,log_loss,8,0.6,1,11,best,0.6316514192524849,0.011812678336461508,"[0.6200483338528163, 0.6482313600811865, 0.6257995901192308, 0.6433482161418923, 0.6208295960672987]",COMPLETE
34,0.5942762168801597,2026-08-25 14:38:27.856363,2026-08-25 14:38:27.903783,0 days 00:00:00.047420,5.6050115473285234e-08,balanced,log_loss,8,0.8,21,7,random,0.5942762168801597,0.012127654715059825,"[0.6016026500142603, 0.6141366696726962, 0.5844351868574877, 0.5811311190735173, 0.5900754587828371]",COMPLETE
35,0.6881803441663833,2026-08-25 14:38:27.904128,2026-08-25 14:38:28.117025,0 days 00:00:00.212897,6.487300430102237e-09,balanced,log_loss,14,sqrt,8,13,best,0.6881803441663833,0.0024002124358258486,"[0.688530330815027, 0.6846562476140942, 0.6902264579570048, 0.6911360552347041, 0.6863526292110868]",COMPLETE
36,0.6147639382063871,2026-08-25 14:38:28.117350,2026-08-25 14:38:28.541626,0 days 00:00:00.424276,9.129803355120518e-07,balanced,log_loss,7,0.6,21,3,best,0.6147639382063871,0.008904363540744207,"[0.6307008859665673, 0.6140586867112531, 0.6149589501043639, 0.6104362210466878, 0.6036649472030632]",COMPLETE
37,0.6648848934945739,2026-08-25 14:38:28.542021,2026-08-25 14:38:28.604563,0 days 00:00:00.062542,7.470160379606147e-08,,gini,14,0.6,4,13,random,0.6648848934945739,0.0076139204081554866,"[0.6705054257525956, 0.6591519211331912, 0.6566655371966986, 0.6768972664246978, 0.6612043169656866]",COMPLETE
38,0.6807292634546347,2026-08-25 14:38:28.604888,2026-08-25 14:38:28.819620,0 days 00:00:00.214732,1.1420077477530208e-08,balanced,entropy,13,log2,11,7,best,0.6807292634546347,0.01062294367491326,"[0.6945272809162925, 0.6722133681967885, 0.6696550696997984, 0.6926229958782155, 0.6746276025820784]",COMPLETE
39,0.7068763715681833,2026-08-25 14:38:28.819981,2026-08-25 14:38:29.754494,0 days 00:00:00.934513,6.046922340115093e-07,,log_loss,23,,25,29,best,0.7068763715681833,0.008088785386289831,"[0.6995817006293782, 0.7198975011828767, 0.702509411331884, 0.7126922264338509, 0.6997010182629265]",COMPLETE
40,0.5536176328835906,2026-08-25 14:38:29.755073,2026-08-25 14:38:29.797059,0 days 00:00:00.041986,1.0019962534605112e-09,balanced,log_loss,18,sqrt,80,22,random,0.5536176328835906,0.014646277523405242,"[0.5368432297197218, 0.5719888685283522, 0.5634093054769432, 0.5600262405405539, 0.5358205201523818]",COMPLETE
41,0.7356536801781723,2026-08-25 14:38:29.797381,2026-08-25 14:38:30.435930,0 days 00:00:00.638549,3.177674659947401e-08,balanced,log_loss,15,0.6,5,2,best,0.7356536801781723,0.010739181225735151,"[0.7521807194432304, 0.7396018592793769, 0.7209705763254332, 0.7380278737642424, 0.7274873720785785]",COMPLETE
42,0.7060561691037414,2026-08-25 14:38:30.436274,2026-08-25 14:38:31.014127,0 days 00:00:00.577853,9.370003360239333e-08,balanced,log_loss,16,0.6,18,6,best,0.7060561691037414,0.006812845611260484,"[0.7108998236420714, 0.7146140125723107, 0.6962563258427571, 0.7083083508660369, 0.7002023325955307]",COMPLETE
43,0.6735659606123103,2026-08-25 14:38:31.014452,2026-08-25 14:38:31.538816,0 days 00:00:00.524364,1.9692079611918363e-08,balanced,log_loss,10,0.6,5,14,best,0.6735659606123103,0.009976063381527643,"[0.6654704026823234, 0.6871166135273846, 0.6843425940429974, 0.6649112928420919, 0.6659888999667539]",COMPLETE
44,0.7237825210766655,2026-08-25 14:38:31.539146,2026-08-25 14:38:32.125213,0 days 00:00:00.586067,3.219747870791338e-09,,entropy,16,0.6,10,2,best,0.7237825210766655,0.014127666465334622,"[0.726441353248509, 0.7325647835917749, 0.7232607751077902, 0.7389852397095678, 0.6976604537256853]",COMPLETE
45,0.6977252555212838,2026-08-25 14:38:32.125534,2026-08-25 14:38:32.850158,0 days 00:00:00.724624,2.585133072497304e-07,balanced,log_loss,12,0.8,17,10,best,0.6977252555212838,0.0038136837219852125,"[0.7018847926834528, 0.69864342840985, 0.7005616021399116, 0.6965264075809898, 0.6910100467922149]",COMPLETE
46,0.577452773377167,2026-08-25 14:38:32.850463,2026-08-25 14:38:32.951355,0 days 00:00:00.100892,4.7594074874570054e-08,balanced,gini,5,log2,3,14,best,0.577452773377167,0.009736821796226426,"[0.5808741588600191, 0.5914094725236362, 0.5688846333224934, 0.5642355205090474, 0.5818600816706389]",COMPLETE
47,0.6644280501927009,2026-08-25 14:38:32.951659,2026-08-25 14:38:33.448046,0 days 00:00:00.496387,6.032970678148229e-09,balanced,log_loss,10,0.6,29,5,best,0.6644280501927009,0.005915487043392404,"[0.6667148303440308, 0.6730683583837408, 0.6577273424517843, 0.666856336247891, 0.6577733835360576]",COMPLETE
48,0.5298437294788526,2026-08-25 14:38:33.448361,2026-08-25 14:38:33.835209,0 days 00:00:00.386848,0.009591050402013749,,entropy,15,0.4,7,18,best,0.5298437294788526,0.01273271008681702,"[0.5134840640613991, 0.5327336150995832, 0.5256018089650558, 0.5252873951417838, 0.5521117641264413]",COMPLETE
49,0.7096622693005521,2026-08-25 14:38:33.835527,2026-08-25 14:38:34.790405,0 days 00:00:00.954878,1.382766429535496e-07,balanced,log_loss,18,,24,10,best,0.7096622693005521,0.007911779943978728,"[0.7169534635921119, 0.6993934152896375, 0.7160059889171482, 0.715343425468709, 0.700615053235154]",COMPLETE
