lst_raw,lst_filt,lst_class,lakeN,scene_id,bluemap,greenmap,redmap,nirmap,swirmap1,swirmap2,cirrusmap,aerosolmap,btmap1,btmap2,raamap,vzamap,szamap,hotmap,whitenessmap,ndsimap1,ndsimap2,ndvimap,ndwimap,mndwimap1,mndwimap2,waterratiomap1,waterratiomap2,brtestmap1,brtestmap2
-11.138153076171877,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.21070565,0.1482624,0.12784207,0.1115595251321792,0.0214413478970527,0.0214413478970527,0.0018808126,0.24386185,-11.675903,-11.99118,43.849976,0.86,68.15,0.1467846184968948,0.5969754332465423,0.7473084877538558,0.7473084877538558,-0.0680135135328594,0.141261642198822,0.7473084877538558,0.7473084877538558,2.075959795138388,2.075959795138388,0.1921964787107903,0.1921964787107903
-9.342041015625,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.16619217,0.10995325,0.08599665,0.0648869201540947,0.0176720060408115,0.0164365787059068,0.0007519815,0.20212705,-9.912689,-10.84082,89.810005,0.4,68.14,0.1231938488781452,0.7534857815368287,0.7230641175116377,0.7399066164904731,-0.1399074131226467,0.257757285338981,0.7230641175116377,0.7399066164904731,2.3734550120899787,2.409511394823219,0.272350821996848,0.253311124443462
-9.17718505859375,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.20330878,0.15324701,0.13315786,0.1176343858242034,0.0253531634807586,0.0233657341450452,0.0016651248,0.23607452,-9.750824,-10.856018,91.68,0.38,68.14,0.1367298439145088,0.4909508778371018,0.7160902762510685,0.7354014992494008,-0.0618977595459354,0.1314694472488801,0.7160902762510685,0.7354014992494008,2.003005711289144,2.031238540531316,0.2155251060574008,0.1986301367693946
-9.256103515625,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.1546436,0.097437814,0.06886176,0.0456034578382968,0.0100982831791043,0.0095074232667684,0.0006982743,0.1913842,-9.828308,-11.046204,88.770004,0.41,68.14,0.1202127151191234,0.891046328693833,0.8121880288488373,0.8222001555077526,-0.2031910021189185,0.3623734284364266,0.8121880288488373,0.8222001555077526,2.985536377133659,3.01754518785664,0.2214367869846919,0.2084803152532944
-9.163482666015623,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.1790836,0.11940696,0.09518179,0.0734812244772911,0.0179405827075243,0.01665142737329,0.0024171264,0.2138905,-9.737335,-10.894043,91.700005,0.38,68.14,0.1314927041530609,0.7294311919708858,0.7387564096786536,0.7552311535650288,-0.1286622807124104,0.2380951240553232,0.7387564096786536,0.7552311535650288,2.347238153422897,2.380810388612644,0.244151929083173,0.2266079191213815
-9.87646484375,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.19149162,0.134447,0.11355211,0.094268649816513,0.0127840060740709,0.0117097208276391,0.0007519815,0.22538537,-10.437439,-11.397125,86.67999,0.43,68.14,0.1347155645489692,0.6142752476518478,0.8263408370025009,0.8397648594675219,-0.0927888953699517,0.1756694167320841,0.8263408370025009,0.8397648594675219,2.3166085868125177,2.3400916655902275,0.1356124872792179,0.1242164903224052
-9.13604736328125,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.1737659,0.12209269,0.098834366,0.077133797109127,0.0120857115834951,0.0109577197581529,0.0011816996,0.20830423,-9.710388,-10.783844,94.399994,0.36,68.14,0.1243487149477005,0.6415353672655358,0.8198560759750626,0.8352846855771494,-0.1233209926290687,0.2256672338377738,0.8198560759750626,0.8352846855771494,2.476219107650272,2.5079265297780324,0.1566850334931206,0.1420611997442605
-8.90313720703125,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.14551213,0.09018638,0.06155663,0.0367943085730075,0.0094537166878581,0.0075199953280389,0.00096685055,0.1849922,-9.48172,-10.799042,89.18,0.4,68.14,0.1147338189184665,0.937115881906644,0.8102427232339212,0.8460695054065205,-0.2517751397595512,0.420473947180669,0.8102427232339212,0.8460695054065205,3.2810700312186616,3.424244461231095,0.25693421223285,0.2043793080964598
-11.867828369140623,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.24601093,0.20015268,0.18509956,0.1550470888614654,0.0363425128161907,0.0340307913720607,0.002311724,0.27267644,-12.392395,-12.368683,86.28001,0.44,68.16,0.1534611508250236,0.3382729327805348,0.692657492604991,0.7093664114524842,-0.0883515052774462,0.1269865448551882,0.692657492604991,0.7093664114524842,2.0129214646091333,2.037532030950046,0.2343966151384032,0.2194868128254073
-8.038818359375,,1.0,mendota,LC08_L1TP_024030_20220107_20220114_02_T1,0.15179671,0.088682376,0.061341763,0.0384594537317752,0.0102057177573442,0.0079497136175632,0.0018799938,0.1869796,-8.632904,-9.951965,94.439995,0.36,68.14,0.1211258322000503,1.0176188133072,0.7935905651484331,0.8354643129108337,-0.229278857163547,0.3950149394766238,0.7935905651484331,0.8354643129108337,3.0827824869488034,3.232640164856485,0.2653630451571458,0.2067037580150333
